LONGITUDE,LATITUDE,Date,AStreet,BStreet,FatalInjuries,MajorInjuries,Involving,Nearest_Intersection,SPD,LEN,ACC,VOL,F85th,LOCAL,F50th
-121.9225398,37.30385511,2013-07-05T12:15:00.000Z,DE ROSE WY,LEIGH AV,0,1,0,DE ROSE WY & LEIGH AV,35,8250,72,9950,40,0,36
-121.9320464,37.3278105,2013-07-06T03:10:00.000Z,BASCOM AV,NAGLEE AV,0,1,0,200' north of BASCOM AV & NAGLEE AV,35,5040,19,11900,38,0,34.5
-121.8465874,37.2658688,2013-05-25T20:03:00.000Z,BRANHAM LN,VISTAPARK DR,0,1,0,BRANHAM LN & VISTAPARK DR,35,3350,24,8250,40,0,35
-121.943342,37.32336326,2013-12-15T21:27:00.000Z,MONROE ST,STEVENS CREEK BL,0,1,1,200' west of MONROE ST & STEVENS CREEK BL,30,2075,8,6100,34.5,0,31
-121.9042924,37.32388041,2014-06-29T18:45:00.000Z,MCEVOY ST,SAN CARLOS ST,0,1,2,MCEVOY ST & SAN CARLOS ST,35,2180,18,6250,39,0,35
-122.0033863,37.323005,2014-02-05T15:13:00.000Z,STERN AV,STEVENS CREEK BL,0,1,2,245' south of STERN AV & STEVENS CREEK BL,40,9750,86,28200,41,0,36.7
-121.8524442,37.29472253,2013-09-22T00:08:00.000Z,MONTEREY RD,UMBARGER RD,0,1,0,MONTEREY RD & UMBARGER RD,35,4000,12,7150,38,0,34
-121.7989027,37.25723443,2013-09-17T06:23:00.000Z,BLOSSOM HILL RD,SOUTH VALLEY FR,0,1,0,BLOSSOM HILL RD & SOUTH VALLEY FR,45,14200,170,31100,49.7,0,43.7
-121.9249494,37.32348635,2014-06-27T19:35:00.000Z,HESTER AV,SAN CARLOS ST,0,1,2,HESTER AV & SAN CARLOS ST,15,2100,11,3200,0,0,0
-121.8924392,37.23420902,2013-09-17T04:12:00.000Z,COLEMAN RD,SENTINEL ST,0,1,0,COLEMAN RD & SENTINEL ST,35,12400,17,4100,39,0,35
-121.8430265,37.37008225,2013-09-22T02:03:00.000Z,CAPITOL AV,MCKEE RD,0,1,0,300' south of CAPITOL AV & MCKEE RD,35,18700,76,21150,40,0,36
-121.8562198,37.38968915,2016-05-18T07:32:00.000Z,BERRYESSA RD,MORRILL AV,1,0,0,235' south of BERRYESSA RD & MORRILL AV,35,11050,54,12650,38.7,0,35.7
-121.861191,37.3035989,2015-10-12T19:45:00.000Z,CURTNER AV,MONTEREY RD,0,1,1,311' east of CURTNER AV & MONTEREY RD,40,4100,17,9100,39.7,0,36
-121.7836897,37.26029487,2015-12-07T09:41:00.000Z,HELLYER AV,SILVER CREEK VALLEY RD,1,0,0,HELLYER AV & SILVER CREEK VALLEY RD,35,2000,0,1250,39,0,34
-121.9316549,37.28018572,2016-04-03T00:16:00.000Z,BASCOM AV,DRY CREEK RD,0,1,2,410' south of BASCOM AV & DRY CREEK RD,40,4250,56,20400,43,0,39
-121.794603,37.25963986,2016-05-15T20:57:00.000Z,CENTURY PLAZA WY,COYOTE RD,1,0,0,CENTURY PLAZA WY & COYOTE RD,35,9900,12,8700,37.5,0,34.5
-121.9187221,37.31711474,2016-02-20T14:15:00.000Z,PARKMOOR AV,SINCLAIR FR,0,1,0,PARKMOOR AV & SINCLAIR FR,30,2000,12,10250,33,0,29
-121.9040215,37.29204813,2016-02-29T13:25:00.000Z,GLEN ELLEN WY,HICKS AV,0,1,0,GLEN ELLEN WY & HICKS AV,30,2000,3,10800,33,0,30
-121.856577,37.31621801,2016-02-20T12:14:00.000Z,NEEDLES DR,SENTER RD,0,1,2,123' east of NEEDLES DR & SENTER RD,40,6200,182,34000,42,0,37.5
-121.8970565,37.36217487,2016-02-19T10:00:00.000Z,COMMERCIAL ST,TENTH ST,0,1,2,COMMERCIAL ST & TENTH ST,30,2080,1,4200,33,0,29
-121.9856969,37.29726007,2016-02-10T17:46:00.000Z,COUNTRY LN,SARATOGA AV,0,1,2,COUNTRY LN & SARATOGA AV,35,9300,20,11050,39,0,35
-121.837473,37.35213027,2016-06-01T00:27:00.000Z,DOBERN AV,JACKSON AV,1,0,1,DOBERN AV & JACKSON AV,35,8350,140,20900,38,0,33.7
-121.9223087,37.30878553,2016-02-12T21:07:00.000Z,GOODWIN AV,LEIGH AV,0,1,1,GOODWIN AV & LEIGH AV,40,2700,27,24400,45,0,41
-121.8795657,37.27506415,2014-11-04T07:43:00.000Z,ALMADEN EX,HILLSDALE AV,1,0,0,ALMADEN EX & HILLSDALE AV,40,10700,62,23900,44,0,40.7
-121.8895236,37.30570677,2015-10-31T18:46:00.000Z,BIRD AV,BUCHSER WY,0,1,2,BIRD AV & BUCHSER WY,15,805,0,2342,16.5,0,15
-121.8843195,37.29104346,2014-07-17T00:06:00.000Z,CELESTINE AV,CURTNER AV,0,1,0,CELESTINE AV & CURTNER AV,35,5700,23,15100,38,0,34.5
-121.8860416,37.33583663,2013-11-24T01:48:00.000Z,FOURTH ST,SAN FERNANDO ST,0,2,0,600' south of FOURTH ST & SAN FERNANDO ST,25,1500,21,6350,26,0,23
-121.7405755,37.2175236,2013-11-28T00:02:00.000Z,COYOTE RANCH RD,MONTEREY RD,0,1,0,338' south of COYOTE RANCH RD & MONTEREY RD,45,14200,170,31100,49.7,0,43.7
-121.9228096,37.35182109,2016-07-06T14:32:00.000Z,COLEMAN AV,NEWHALL DR,0,1,0,COLEMAN AV & NEWHALL DR,40,6230,41,31600,46,0,42
-121.8821297,37.40332487,2016-07-10T12:36:00.000Z,CAPITOL AV,CROPLEY AV,0,1,0,CAPITOL AV & CROPLEY AV,35,8700,47,13850,40,0,36
-121.9334127,37.27523745,2016-07-11T09:18:00.000Z,BASCOM AV,ELDEN DR,0,1,0,234' north of BASCOM AV & ELDEN DR,35,7500,37,15350,39.7,0,36.7
-121.8343821,37.34883176,2015-10-29T18:20:00.000Z,CINDERELLA LN,JACKSON AV,0,1,2,CINDERELLA LN & JACKSON AV,35,8350,140,20900,38,0,33.7
-121.9306252,37.27974171,2013-11-08T21:59:00.000Z,DRY CREEK RD,PAULINE DR,0,1,0,DRY CREEK RD & PAULINE DR,25,10520,12,1850,29.7,0,28.3
-121.8776349,37.3200314,2013-11-09T23:17:00.000Z,FIRST ST,GOODYEAR ST,0,2,2,FIRST ST & GOODYEAR ST,25,550,5,9850,29,0,27
-121.8171969,37.31330876,2014-11-11T16:28:00.000Z,BARBERRY LN,KING RD,1,0,1,BARBERRY LN & KING RD,35,14500,300,23900,37.8,0,34
-121.8172926,37.24107777,2013-11-25T14:52:00.000Z,CALERO AV,LEAN AV,0,1,2,458' north of CALERO AV & LEAN AV,35,7730,17,3900,37.3,0,33.7
-121.9034267,37.33540578,2013-11-26T17:47:00.000Z,JULIAN ST,MONTGOMERY ST,0,1,0,JULIAN ST & MONTGOMERY ST,30,3100,46,11200,35,0,30
-121.8080817,37.31143755,2013-12-15T19:32:00.000Z,ABORN RD,CAPITOL EX,0,1,1,ABORN RD & CAPITOL EX,35,14500,300,23900,37.8,0,34
-121.8690844,37.29838356,2013-12-17T02:50:00.000Z,CURTNER AV,STONE AV,0,1,0,CURTNER AV & STONE AV,25,3520,9,3550,30,0,26
-121.901836,37.35120523,2016-07-11T16:37:00.000Z,FIRST ST,MISSION ST,0,1,2,FIRST ST & MISSION ST,25,4200,62,14000,30,0,26.7
-121.8104205,37.3465663,2016-02-13T19:12:00.000Z,ROCKY MOUNTAIN DR,WHITE RD,0,1,0,82' south of ROCKY MOUNTAIN DR & WHITE RD,35,4000,25,9400,39,0,34
-121.9921013,37.32305913,2013-10-10T18:17:00.000Z,LOMA LINDA DR,STEVENS CREEK BL,0,1,0,300' west of LOMA LINDA DR & STEVENS CREEK BL,40,9750,86,28200,41,0,36.7
-121.8574722,37.33017413,2013-11-09T21:44:00.000Z,LUCRETIA AV,STORY RD,0,1,1,LUCRETIA AV & STORY RD,35,8000,75,8050,41,0,37
-121.8677513,37.34700468,2014-03-09T01:37:00.000Z,SANTA CLARA ST,TWENTY FOURTH ST,1,2,0,148' east of SANTA CLARA ST & TWENTY FOURTH ST,25,7300,21,2600,29.7,0,27
-121.7617032,37.18224252,2013-11-22T14:05:00.000Z,BAILEY AV,MCKEAN RD,0,1,0,1584' south of BAILEY AV & MCKEAN RD,35,5000,3,3500,41,0,37
-121.7597253,37.28294484,2014-01-01T01:53:00.000Z,SAN FELIPE RD,SCENIC MEADOW LN,0,1,0,805' north of SAN FELIPE RD & SCENIC MEADOW LN,35,5200,4,9250,39,0,35.5
-121.8259062,37.32237618,2016-09-20T00:22:00.000Z,KING RD,TULLY RD,1,0,1,KING RD & TULLY RD,35,5400,38,11050,39.3,0,34.7
-121.8259062,37.32237618,2015-10-28T10:30:00.000Z,KING RD,TULLY RD,0,1,1,134' west of KING RD & TULLY RD,35,5400,38,11050,39.3,0,34.7
-121.9225398,37.30385511,2015-10-31T16:47:00.000Z,DE ROSE WY,LEIGH AV,0,1,0,DE ROSE WY & LEIGH AV,35,8250,72,9950,40,0,36
-121.8791026,37.31282306,2016-03-18T22:13:00.000Z,ALMA AV,VINE ST,0,1,0,ALMA AV & VINE ST,30,2000,47,17000,33,0,30
-121.8514743,37.3341986,2016-04-20T23:44:00.000Z,FELIPE AV,STORY RD,1,0,1,399' west of FELIPE AV & STORY RD,35,8200,197,17650,36.3,0,32.5
-121.8376034,37.37376234,2015-11-07T13:46:00.000Z,FRANCIS DR,MCKEE RD,0,1,2,FRANCIS DR & MCKEE RD,35,8200,197,17650,36.3,0,32.5
-121.9062003,37.22064175,2015-09-25T09:34:00.000Z,GUADALUPE MINES RD,VIA LUGANO ,1,0,0,GUADALUPE MINES RD & VIA LUGANO ,35,3000,3,2950,38,0,34
-121.9082839,37.26682026,2016-01-12T08:13:00.000Z,HILLSDALE AV,KIRK RD,1,0,0,HILLSDALE AV & KIRK RD,30,5000,5,2350,33,0,29
-121.9205282,37.36404438,2015-07-01T10:30:00.000Z,AIRPORT BL,TERMINAL DR,1,0,0,AIRPORT BL & TERMINAL DR,35,4200,7,16000,39,0,36
-121.8568419,37.26599359,2013-06-22T15:36:00.000Z,BRANHAM LN,NARVAEZ AV,0,1,2,BRANHAM LN & NARVAEZ AV,35,3440,8,7900,39,0,37
-121.8434744,37.30360758,2015-12-19T02:51:00.000Z,FELDSPAR DR,SENTER RD,1,0,1,FELDSPAR DR & SENTER RD,30,3900,23,6250,32.5,0,29.5
-121.8703833,37.22929885,2015-11-09T03:55:00.000Z,ALMADEN EX,REDMOND AV,1,0,0,ALMADEN EX & REDMOND AV,35,1600,13,15800,36,0,33
-121.8174038,37.26463694,2015-11-18T19:00:00.000Z,BOUGAINVILLEA DR,MONTEREY RD,0,1,0,BOUGAINVILLEA DR & MONTEREY RD,25,1475,6,2900,28,0,24
-121.8925565,37.24067416,2015-11-14T16:18:00.000Z,BLOSSOM HILL RD,VASSAR DR,0,1,1,BLOSSOM HILL RD & VASSAR DR,35,5200,17,21000,37.7,0,33.7
-121.8270628,37.31631076,2016-04-05T23:41:00.000Z,FLANIGAN DR,MELISSA CT,0,1,0,63' west of FLANIGAN DR & MELISSA CT,30,1550,26,6850,31,0,27
-121.8006307,37.33555169,2016-02-07T14:07:00.000Z,TULLY RD,WHITE RD,1,0,0,TULLY RD & WHITE RD,40,4100,47,27400,44,0,40
-121.8923265,37.32609188,2015-11-22T09:55:00.000Z,GUADALUPE FR,WOZ WY,0,1,0,285' south of GUADALUPE FR & WOZ WY,25,1975,20,12100,30.5,0,27
-121.7870587,37.32484443,2015-11-22T19:15:00.000Z,QUIMBY RD,REMINGTON WY,0,1,2,110' west of QUIMBY RD & REMINGTON WY,40,9000,27,15200,43.5,0,39
-121.8199542,37.35561147,2015-11-27T00:06:00.000Z,STONEHEDGE WY,STORY RD,0,1,0,STONEHEDGE WY & STORY RD,30,2600,25,6150,33.5,0,29.5
-121.8982448,37.32390906,2015-12-03T07:38:00.000Z,AUZERAIS AV,ILLINOIS AV,0,1,1,AUZERAIS AV & ILLINOIS AV,25,5950,34,5250,28.5,0,24.5
-121.9092364,37.24773819,2015-11-20T23:10:00.000Z,CAMDEN AV,MICHON DR,0,1,0,CAMDEN AV & MICHON DR,35,4000,67,21000,37.5,0,35
-121.8648593,37.34404659,2015-12-07T12:35:00.000Z,SAN ANTONIO ST,TWENTY FOURTH ST,0,1,0,SAN ANTONIO ST & TWENTY FOURTH ST,35,4000,43,11400,37,0,34
-121.9225398,37.30385511,2016-01-15T23:06:00.000Z,DE ROSE WY,LEIGH AV,1,0,1,79' north of DE ROSE WY & LEIGH AV,35,8250,72,9950,40,0,36
-121.8223396,37.32478632,2015-12-12T08:50:00.000Z,BRAHMS AV,TULLY RD,0,1,2,BRAHMS AV & TULLY RD,35,4082,80,17100,39.5,0,35.5
-121.8424568,37.38857062,2016-03-23T14:00:00.000Z,FIJI DR,WHITE RD,0,1,0,FIJI DR & WHITE RD,30,2500,1,7900,34.5,0,30
-121.8889217,37.2756889,2015-11-02T19:00:00.000Z,FOXWORTHY AV,LANSFORD AV,0,1,1,200' north of FOXWORTHY AV & LANSFORD AV,25,4350,8,2200,31,0,26.5
-121.8881485,37.33482156,2015-12-18T09:33:00.000Z,SAN FERNANDO ST,SECOND ST,1,0,1,SAN FERNANDO ST & SECOND ST,25,8166,47,8750,29,0,25.7
-121.8303408,37.2906268,2015-12-21T22:46:00.000Z,SENTER RD,SINGLETON RD,1,0,0,SENTER RD & SINGLETON RD,25,2100,8,2550,29.5,0,26
-121.8845997,37.32212318,2015-11-01T07:18:00.000Z,ALMADEN AV,VIRGINIA ST,0,1,0,ALMADEN AV & VIRGINIA ST,30,5000,50,7900,33.3,0,30
-121.8860672,37.3873583,2016-03-27T21:32:00.000Z,LUNDY AV,MURPHY AV,0,1,0,LUNDY AV & MURPHY AV,40,3320,22,45900,44.5,0,41
-121.8292558,37.32576439,2015-12-19T18:40:00.000Z,KING RD,WAVERLY AV,1,0,1,KING RD & WAVERLY AV,35,5400,38,11050,39.3,0,34.7
-121.8402841,37.25899147,2015-12-14T08:05:00.000Z,CHYNOWETH AV,DUESENBURG DR,1,0,2,CHYNOWETH AV & DUESENBURG DR,40,6000,21,9750,43.5,0,39
-121.9753466,37.31672543,2015-11-08T20:58:00.000Z,JUNIPERO SERRA FR,SARATOGA AV,0,1,1,JUNIPERO SERRA FR & SARATOGA AV,40,7500,32,13550,44.5,0,41.5
-121.901654,37.24112039,2015-11-03T07:58:00.000Z,CARTER AV,KOOSER RD,0,1,1,CARTER AV & KOOSER RD,30,3600,3,1900,32,0,27
-121.8860672,37.3873583,2015-12-23T21:40:00.000Z,LUNDY AV,MURPHY AV,1,0,1,LUNDY AV & MURPHY AV,40,3320,22,45900,44.5,0,41
-121.830571,37.23368185,2015-11-04T14:45:00.000Z,CHOCTAW DR,SNELL AV,0,1,0,CHOCTAW DR & SNELL AV,40,5320,37,14250,42.5,0,38.5
-121.8449318,37.29984476,2016-03-29T19:25:00.000Z,MEADOWFAIRE DR,UMBARGER RD,0,2,1,MEADOWFAIRE DR & UMBARGER RD,35,4000,12,7150,38,0,34
-121.8729918,37.32222577,2015-11-05T19:59:00.000Z,KEYES ST,SIXTH ST,0,1,1,KEYES ST & SIXTH ST,35,4100,103,16000,36.5,0,32
-121.7373425,37.26818152,2015-12-12T15:53:00.000Z,HEARTLAND WY,SAN FELIPE RD,0,1,0,HEARTLAND WY & SAN FELIPE RD,35,5200,4,9250,39,0,35.5
-121.8501331,37.36526377,2015-12-15T17:27:00.000Z,JACKSON AV,MCKEE RD,1,0,1,JACKSON AV & MCKEE RD,35,7530,49,15150,38.5,0,35
-121.8633394,37.26582582,2015-12-11T21:51:00.000Z,BRANHAM LN,HEPPNER LN,0,1,1,BRANHAM LN & HEPPNER LN,35,3440,8,7900,39,0,37
-121.8858217,37.36289415,2015-12-15T16:32:00.000Z,HEDDING ST,MABURY RD,0,1,1,HEDDING ST & MABURY RD,35,2050,26,14150,41,0,37
-121.9069123,37.25208223,2015-12-19T19:53:00.000Z,BRANHAM LN,LAWSON CT,0,1,2,BRANHAM LN & LAWSON CT,30,7500,36,8500,34.7,0,31
-121.9041535,37.22756503,2016-02-20T21:31:00.000Z,CAMDEN AV,VISTA LOOP ,2,0,0,CAMDEN AV & VISTA LOOP ,40,10750,27,9900,43,0,39.3
-121.8954692,37.36003712,2016-06-14T16:22:00.000Z,HORNING ST,TENTH ST,1,0,0,HORNING ST & TENTH ST,35,3700,10,11750,39,0,34.5
-121.8547316,37.30357533,2015-12-15T21:30:00.000Z,SEVENTH ST,TULLY RD,1,0,0,SEVENTH ST & TULLY RD,35,8034,36,13500,38.5,0,35.5
-121.8268266,37.36453964,2015-10-11T03:09:00.000Z,ROSE AV,WHITE RD,0,1,0,ROSE AV & WHITE RD,30,2400,11,3500,36,0,30
-121.8326603,37.34699098,2015-11-10T18:25:00.000Z,JACKSON AV,STORY RD,0,1,1,JACKSON AV & STORY RD,35,8350,140,20900,38,0,33.7
-121.9109257,37.34236135,2015-12-11T05:52:00.000Z,COLEMAN AV,TAYLOR ST,1,0,1,170' west of COLEMAN AV & TAYLOR ST,35,1900,36,27500,39,0,36
-121.949933,37.29840243,2016-02-12T00:10:00.000Z,DRIFTWOOD DR,WINCHESTER BL,1,0,2,DRIFTWOOD DR & WINCHESTER BL,25,2430,2,1450,28.5,0,24
-121.7993682,37.29886732,2015-12-12T22:17:00.000Z,GLENGROVE WY,YERBA BUENA RD,1,0,0,GLENGROVE WY & YERBA BUENA RD,35,3600,46,22900,39,0,34
-121.7716098,37.30688266,2015-11-07T18:33:00.000Z,CHRISTIAN DR,DELTA RD,0,1,1,CHRISTIAN DR & DELTA RD,25,3700,7,9850,31.5,0,28.5
-121.9316549,37.28018572,2015-11-13T17:43:00.000Z,BASCOM AV,DRY CREEK RD,0,1,0,549' north of BASCOM AV & DRY CREEK RD,40,4250,56,20400,43,0,39
-121.9317022,37.29931527,2015-12-22T17:43:00.000Z,BASCOM AV,PAMLAR AV,1,0,1,BASCOM AV & PAMLAR AV,30,5800,19,2100,33,0,29
-121.8774386,37.33011919,2016-01-02T19:08:00.000Z,REED ST,SEVENTH ST,1,0,2,REED ST & SEVENTH ST,30,5000,50,7900,33.3,0,30
-121.8526636,37.34985447,2016-01-30T02:35:00.000Z,KING RD,SAN ANTONIO ST,1,0,0,KING RD & SAN ANTONIO ST,35,4000,43,11400,37,0,34
-121.8306356,37.23810282,2015-12-10T18:05:00.000Z,SHAWCROFT DR,SNELL AV,1,0,0,SHAWCROFT DR & SNELL AV,40,5320,37,14250,42.5,0,38.5
-121.8724937,37.29512544,2016-01-25T00:42:00.000Z,CURTNER AV,GUADALUPE FR,1,0,1,CURTNER AV & GUADALUPE FR,30,800,8,2250,31,0,28
-121.8970565,37.36217487,2016-03-05T22:07:00.000Z,COMMERCIAL ST,TENTH ST,1,0,1,991' north of COMMERCIAL ST & TENTH ST,35,3200,35,24100,36,0,33
-121.8332272,37.29342558,2015-12-26T18:13:00.000Z,CAPITOL EX,SENTER RD,0,1,1,CAPITOL EX & SENTER RD,40,15150,187,23450,42.8,0,38.5
-121.8433174,37.31591186,2015-12-27T15:19:00.000Z,LUCRETIA AV,SUMMERSIDE DR,0,1,1,488' south of LUCRETIA AV & SUMMERSIDE DR,35,8000,75,8050,41,0,37
-121.9114632,37.36417878,2015-12-25T18:24:00.000Z,FIRST ST,SONORA AV,0,1,1,FIRST ST & SONORA AV,40,2000,20,7500,41,0,36
-121.8732887,37.31056324,2016-01-04T11:00:00.000Z,POMONA AV,SAN JOSE AV,0,1,0,51' west of POMONA AV & SAN JOSE AV,40,2100,33,20200,42,0,38
-121.8942558,37.33840557,2016-01-15T23:02:00.000Z,MARKET ST,ST JAMES ST,0,1,0,MARKET ST & ST JAMES ST,25,1975,20,12100,30.5,0,27
-121.909961,37.33352733,2016-02-11T22:46:00.000Z,JULIAN ST,KEEBLE AV,0,1,0,58' west of JULIAN ST & KEEBLE AV,30,3100,46,11200,35,0,30
-121.9058717,37.32113309,2016-02-12T23:57:00.000Z,AUZERAIS AV,SUNOL ST,0,1,2,211' west of AUZERAIS AV & SUNOL ST,25,5950,34,5250,28.5,0,24.5
-121.8726447,37.29101768,2016-02-09T19:37:00.000Z,CANOAS GARDEN AV,MASONIC DR,0,1,1,CANOAS GARDEN AV & MASONIC DR,35,1550,4,7100,36,0,33
