OBJECTID,STREET,ROUTE,START,END_,SPD,DATE,CD,PD,LEN,ACC,VOL,RATE,TYPE,F85th,NEW,LOCAL,MEAN_SPD,BGN_PACE,PRCNT_PACE,Jurisdiction,on_hold,reason_for_on_hold,Comment,F50th,GlobalID,Shape__Length
25,CAPITOL EX,,SR-87,McLAUGHLIN AV,50,2011-09-13T00:00:00.000Z,7,X,60450,670,50900,1.25,"6, divided",51,,0,,41,76,COUNTY,0,,,46,08e6201a-28a4-446a-ace4-5bd74bcf70ac,21900.0810085606
26,CHARCOT AV,,ORCHARD PW,ZANKER RD,35,2019-02-06T00:00:00.000Z,4,,3850,9,13250,0.85,"2, 4, divided/undivided",39,,0,,31,81,CITY,0,,,35,a2b6c1f8-9363-407a-9c65-a3d82a6226b1,2829.41382657208
27,COLEMAN AV,,HEDDING ST,N CITY LIMIT,40,2012-06-19T00:00:00.000Z,3,D,6230,41,31600,1,"5, 6, divided/undivided w/ 2-way LT lane",46, ,0,,39,77,CITY,0,,,42,b5f241e1-d7d4-41ce-8d0c-977c91449004,6263.75945555681
28,BAYSHORE ROAD WEST,,HEDDING ST,MISSION ST,30,2012-06-19T00:00:00.000Z,3,R,1580,1,3900,0.78,"2, undivided",32, ,0,,24,82,CITY,0,,,29,0d82717d-2b87-43c0-9d63-20f09cb74324,1656.8591668863
29,BERNAL RD/SILICON VALLEY BL,,SANTA TERESA BL,HELLYER AV,40,2011-07-13T00:00:00.000Z,2,Y,9400,64,18000,2.72,"4 - 6, divided",44,,0,,35,81,CITY,0,,,40.5,f759adbb-98c3-4ae1-a980-4228a85b416f,9261.09406890295
30,BERNAL RD,,HEATON MOOR DR (175' W/O),SANTA TERESA BL,35,2010-06-09T00:00:00.000Z,2,Y,2800,9,6000,3.1,d /1,39, ,0,,30,80,CITY,0,,,35,4a4ca696-fa22-4139-8d60-0537423ca154,2964.39928949304
31,BERRYESSA RD,,CAPITOL AV,PIEDMONT RD,35,2017-01-17T00:00:00.000Z,4,W,5800,27,13150,1.71,"4, divided",39.7, ,0,,31,76,CITY,0,,,35.3,83a1c616-85d5-46db-98ad-2aa31af424eb,5904.64117094662
32,BERRYESSA RD,,MABURY RD,CAPITOL AV,40,2011-01-13T00:00:00.000Z,4,W,11500,159,40150,1.66,"4, divided",43.3, ,0,,35,82,CITY,0,,,39.7,869163d5-8310-4244-9f79-1d16b71b3ce0,11075.3769735583
33,BESWICK DR,,BLOSSOM HILL RD,COTTLE RD,35,2014-12-05T00:00:00.000Z,2,Y,2700,11,7150,2.75,"2, divided",39, ,0,,31,82,CITY,0,,,35,f10921e5-2c04-4fb0-95ef-62a7feba0511,2812.38186247868
34,BIRD AV,,MALONE RD,MINNESOTA AV,35,2017-02-03T00:00:00.000Z,6,T,4600,4,9850,0.43,"2, divided",36, ,0,,27,85,CITY,0,,,31.3,46ad48af-994e-4b9d-9133-402e5edc5823,4681.39229292302
35,BIRD AV,,COE AV,SAN CARLOS ST,35,2010-12-10T00:00:00.000Z,6,S,3600,73,21700,4.51,"4 - 6, undivided",36.5, ,0,,28,81,CITY,0,,,32.5,d4cba42c-5d84-401f-a72b-026625ae6e12,3635.37400468415
36,BIRD AV,,MINNESOTA AV,COE AV,25,2012-03-26T00:00:00.000Z,6,S,3600,21,11700,2.4,"2, undivided",29.5, ,0,,22,91,CITY,0,,,26.5,17d5eb91-333a-466e-9be2-d640245a1787,3736.73182635903
37,BLACKFORD AV,,SARATOGA AV,BOYNTON AV,30,2014-04-14T00:00:00.000Z,1,N,3100,8,2600,4.79,"2, undivided",32,,0,,23,85,CITY,0,,,29,13ea6d6b-6a3d-4bdd-9c96-e06ddd58f494,3141.7874457332
38,BLANEY AV,,PROSPECT RD,BOLLINGER RD,30,2015-11-05T00:00:00.000Z,1,N,4750,4,3900,1.04,"2, undivided",33, ,0,,26,90,CITY,0,,,29.5,159a3a85-faa3-43d9-a3b8-a165bec9df8f,5857.30164453398
39,BLOSSOM AV,,SANTA TERESA BL,BLOSSOM HILL RD,35,2015-02-11T00:00:00.000Z,10,Y,4950,22,10200,2.1,"2, undivided w/2-way LT",40, ,0,,33,87,CITY,0,,,36.5,b66fadbf-36c3-4e20-a468-7e7f4ceaacc8,5040.84023787449
40,BLOSSOM AV,,COLLEEN DR,SANTA TERESA BL,30,2015-10-07T00:00:00.000Z,10,Y,2100,6,1900,7.25,"2, undivided",32, ,0,,24,89,CITY,0,,,29,af275c05-6ce0-4130-bca9-45d69f9353ff,2121.62778068485
41,BLOSSOM HILL RD,,W CITY LIMIT,CAMDEN AV,35,2016-04-29T00:00:00.000Z,9,A,10600,20,18700,0.49,"2-4, undivided",42, ,0,,34,83,CITY,0,,,37,287b7f0b-22ef-4b25-9713-1174af7633ac,10635.4930942821
42,BLOSSOM HILL RD,,CAMDEN AV,ALMADEN EX,40,2012-01-05T00:00:00.000Z,9,A,10000,106,16600,3.08,"4, 6, divided/undivided",41.3, ,0,,34,85,CITY,0,,,37.7,322fcb6d-bcbb-41ed-96a4-28781ef0ee5b,10073.9604238775
43,BLOSSOM HILL RD,,SNELL AV,US-101,40,2011-07-12T00:00:00.000Z,2,Y,10800,188,37000,2.27,"6, divided",47, ,0,,38,80,CITY,0,,,42.5,3f44617e-c718-4cfe-bd8f-bac710301275,10850.3948461912
44,BLUEFIELD DR (L),,CAPITOL EX,ROSENBAUM AV,25,1988-02-10T00:00:00.000Z,10,X,4700,12,13000,9.52,c / 2,34,,1,29.500000,25,82,CITY,0,,,,0d29f4ac-c397-4989-b514-d54b4181d28c,4704.05964590818
45,BOLLINGER RD,,MILLER AV,LAWRENCE EX,35,2013-10-21T00:00:00.000Z,1,N,5100,35,17650,1.87,"4, undivided",39, ,0,,32,91,CITY,0,,,36,8ec5b131-07f0-4fdd-a26d-92cdeca448cf,5113.35238255686
46,BOLLINGER RD,,DE ANZA BL,MILLER AV,35,2014-08-25T00:00:00.000Z,1,N,5650,18,15700,0.98,"4, undivided",40, ,0,,32,85,CITY,0,,,36.5,866ad1ac-a0d1-40cd-a638-e239b37f35a6,5674.24887344795
47,BONITA AV (L),,SUNNY CT,HERALD AV,25,1991-03-04T00:00:00.000Z,3,K,1350,4,1200,11.11,a / 2,31, ,1,25.800000,22,75,CITY,0,,,,050d581d-731c-4c28-b5a0-c12e7e6dcf99,1365.23126882916
48,BOYNTON AV,,PAYNE AV,MOORPARK AV,30,2013-10-21T00:00:00.000Z,1,N,5400,19,3100,5.47,"2, undivided",33.5, ,0,,27,92,CITY,0,,,30.5,4158b1e8-76cd-4000-94be-a6fb2fa314ba,5404.00940679666
49,BRANHAM LN,,CAMDEN AV,MERIDIAN AV,35,2018-07-31T00:00:00.000Z,9,A,4000,67,21000,3.85,"4, divided",37.5, ,0,,31,90,CITY,0,,,35,64828da5-d118-48ec-9b20-afd86757f26f,3991.90025398754
50,BRANHAM LN,,ALMADEN EX,SR-87,40,2017-10-24T00:00:00.000Z,9,A,5290,19,21000,0.82,"4, divided",43, ,0,,35,97,CITY,0,,,40.3,6372bb2d-e755-4686-b822-3d81140763d3,5285.42115026351
51,BRANHAM LN,,SR-87,SNELL AV,40,2017-10-19T00:00:00.000Z,10,X,8070,32,19050,1,"2, 4, undivided",43.7, ,0,,36,88,CITY,0,,,40.3,6bac9af4-391a-4180-aa5b-4d17b09a2207,8168.30390626339
52,BRANHAM LN,,SNELL AV,MONTEREY RD,40,2017-10-19T00:00:00.000Z,2,X,2850,15,15350,1.65,"4, divided",44, ,0,,36,90,CITY,0,,,40,64cc6509-76a0-40bf-b214-22de5405e622,2820.58790853259
53,BRANHAM LN,,MERIDIAN AV,ALMADEN EX,35,2017-10-24T00:00:00.000Z,10,AT,6940,28,17850,1.09,"4, divided/undivided",38.3, ,0,,30,88,CITY,0,,,35,464be550-498d-44f0-b1ee-6f785d9f03a1,6926.72110829064
54,BROKAW RD,,MATRIX BL,OAKLAND RD,40,2019-02-06T00:00:00.000Z,4,R,8550,97,40600,1.35,"6, divided",42, ,0,,33,84,CITY,0,,,38.3,ff9d9565-a963-4d0c-b28d-a35859ddb6f0,8576.07142559366
55,BUCKNALL RD,,SAN TOMAS AQUINO RD,ABBEY LN,30,2012-01-23T00:00:00.000Z,1,N,3100,6,1150,8.12,"2, undivided",31, ,0,,24,90,CITY,0,,,27,bee0ac6e-0ae8-49d7-8569-e1c7f3ad6317,3091.0882623505
56,COLEMAN AV,,TAYLOR ST,HEDDING ST,35,2012-04-23T00:00:00.000Z,3,R,1900,36,27500,3.32,"4, undivided",39, ,0,,31,85,CITY,0,,,36,32fa9f9b-b2a6-426b-9115-afd301bb4b55,1889.34964676702
57,BUCKNALL RD,,QUITO RD,SAN TOMAS AQUINO RD,30,2014-07-16T00:00:00.000Z,1,N,5100,10,5000,1.89,"2, undivided",32.5,,0,,25,91,CITY,0,,,29.5,87732b4b-ee64-4337-9e8f-00182df45139,5173.27505530673
58,CAHALAN AV,,SANTA TERESA BL,BLOSSOM HILL RD,35,2016-11-23T00:00:00.000Z,10,Y,4400,10,5650,1.94,"2, divided",38.5, ,0,,31,81,CITY,0,,,34.5,ae355f1c-8608-4aaa-bec4-1251ec8dc58d,4459.48643605878
59,CALCATERRA DR (L),,RAJKOVICH WY,SPRING HILL WY,30,2000-09-28T00:00:00.000Z,10,A,4500,1,3200,0.333,a c  / 2,34, ,1,30.390000,26,83,CITY,0,,,,cb7def8d-e5fb-4a5c-8f89-571133f0e136,4537.86935282415
60,CALERO AV,,ALLEN AV,SNELL AV,35,2013-09-23T00:00:00.000Z,10,Y,7730,17,3900,2.72,"2, undivided w/2-way LT lane",37.3, ,0,,30,82,CITY,0,,,33.7,6f9363d6-b278-45ae-8949-83cfc8151acb,7732.99488623006
61,CAMDEN AV,,ALMADEN EX,HARRY RD,35,2012-06-19T00:00:00.000Z,10,A,4550,14,4550,1.07,"2, undivided",39, ,0,,30,81,CITY,0,,,35,a77fd8bb-bc07-495f-9ad0-965ddf7dc519,13826.2632363102
62,CAMDEN AV,,BOSE LN,ALMADEN EX,35,2011-08-10T00:00:00.000Z,10,A,1600,13,15800,2.48,"4-5, divided",36, ,0,,29,87,CITY,0,,,33,4fee5476-3550-454e-8a6d-945cb26c9306,1603.55110050094
63,CAMDEN AV,,BLOSSOM HILL RD,BASCOM AV,40,2012-06-19T00:00:00.000Z,9,T,17150,125,29150,1.21,"4, 6, divided",44.8, ,0,,36,81,CITY,0,,,40.4,fa094431-eada-4e6b-8770-9d0d305ee4aa,17326.2413978438
64,CAMDEN AV,,MONTEGO DR,BOSE LN,40,2016-09-09T00:00:00.000Z,10,A,6280,17,17600,0.74,"4, divided",43.7, ,0,,36,82,CITY,0,,,40,e058c0b2-5106-4f85-b0f1-44fa62f2d418,6193.53947875134
65,CAMINO RAMON (L),,MINNESOTA AV,GLEN EYRIE AV,25,1996-06-11T00:00:00.000Z,6,S,2600,8,3500,4.24,"a / 2, c / 2",31, ,1,26.600000,22,76,CITY,0,,,,b5c46f98-f9ef-44c7-8ae7-1a7b2cb38bd6,2698.32853683873
66,CAMPBELL AV,,ABBEY LN,SUPERIOR DR,35,2012-02-09T00:00:00.000Z,1,N,2300,5,22800,0.46,"4, undivided",38, ,0,,30,88,CITY,0,,,34,f6f72b90-2713-4d62-9d5f-56a5365528d6,2294.6847525743
67,CAMPBELL AV,,CASTRO DR,SARATOGA  AV,35,2012-02-09T00:00:00.000Z,1,N,3000,21,15450,2.18,"4, divided/undivided",39, ,0,,30,84,CITY,0,,,35,76996950-16d9-430f-8b51-ac6becf5e42f,3026.27785808782
68,CAPITOL AV,,KOLLMAR DR,WOODMOOR DR,30,2017-03-02T00:00:00.000Z,5,W,2800,7,1500,8.04,"2, undivided",32.5, ,0,,24,76,CITY,0,,,28,e10074ba-2ce5-461a-8634-a071472e318b,2756.82284316334
69,CAPITOL AV,,CAPITOL EX,McKEE RD,35,2018-03-16T00:00:00.000Z,5,W,6500,66,23300,2.1,"4, divided",39.7, ,0,,33,87,CITY,0,,,35.3,f3c841b3-2dcf-4d66-ba0d-fb4a106b3ee3,6561.45374180037
70,CAPITOL AV,,McKEE RD,TRIMBLE RD,35,2018-03-16T00:00:00.000Z,4,W,18700,76,21150,0.93,"4, 6, divided",40, ,0,,32,86,CITY,0,,,36,9c33457c-6c0c-42cb-bb3e-280ac970354c,18850.1831531161
71,CAPITOL EX,,McLAUGHLIN AV,I-680,45,2011-09-13T00:00:00.000Z,8,X,23000,670,60450,1.25,"6-8, divided",50, ,0,,42,80,COUNTY,0,,,46,29c5c7d7-54e9-4efe-b842-05b6f0368bb3,22453.3357523559
72,CARLTON AV,,NATIONAL AV,UNION AV,30,2014-06-24T00:00:00.000Z,9,A,5525,6,2550,2.05,"2, undivided",33, ,0,,26,91,CITY,0,,,29.5,be8fdff4-dad4-48ea-98ff-39be18217762,5579.0654227709
73,CARTER AV,,KOOSER RD,HOWES LN,30,2014-04-10T00:00:00.000Z,9,A,3600,3,1900,2.11,"2, undivided",32, ,0,,24,87,CITY,0,,,27,6a8e5786-6d58-45db-a51a-07818c75bfce,3616.37259882807
74,CHARCOT AV,,ZANKER RD,O'TOOLE AV,35,2018-07-31T00:00:00.000Z,4,R,3940,4,7600,0.64,"2, undivided",36, ,0,,27,84,CITY,0,,,33,1df3e350-5b84-4046-a634-ba28da57e819,3940.91486612756
75,CHERRY AV,,ALMADEN EX,CURTNER AV,35,2012-11-30T00:00:00.000Z,9,A,13450,54,7200,2.69,"2, undivided w/ 2-way LT lane",37.3, ,0,,29,89,CITY,0,,,33.3,3210f924-8d0d-471d-b7e8-13f509818669,13454.0096823321
76,CHERRY AV,,DRY CREEK RD,CURTNER AV,25,2002-08-09T00:00:00.000Z,6,T,2080,3,1250,5.6,c / 2,31, ,0,31,26,68,CITY,0,,,,9000032a-cb86-4294-9ed9-c966a9b4aa61,2106.93457097987
77,CHESBRO AV,,CALERO AV,BLOSSOM HILL RD,30,2014-04-10T00:00:00.000Z,10,Y,2800,8,1500,9.18,"2, undivided",34, ,0,,25,86,CITY,0,,,31,cba99cdc-865d-4438-a3ae-694e46579353,2914.57127370403
78,CHYNOWETH AV,,PEARL AV,NEW WORLD DR,35,2013-06-20T00:00:00.000Z,9,Y,2500,9,5550,3.13,"4, divided",38,,0,,31,81,CITY,0,,,34,125c4b5d-5c3f-469c-8d6d-ad698041323a,2632.17153524166
79,CHYNOWETH AV,,NEW WORLD DR,BARRON PARK DR,30,2016-02-16T00:00:00.000Z,10,Y,2150,3,2900,2.32,"2, divided",34, ,0,,25,81,CITY,0,,,31,02366b04-d217-4a40-979d-bcadacded656,2144.66589356325
80,CHYNOWETH AV,,SNELL AV,MONTEREY RD,40,2018-06-18T00:00:00.000Z,2,X,6000,21,9750,1.73,"2, divided",43.5, ,0,,34,83,CITY,0,,,39,36be8d42-90ab-49be-a3ee-3c08cbd407fc,6229.42186893253
81,CISCO WAY,,RIVER OAKS PKWY,TASMAN DR,35,2012-01-27T00:00:00.000Z,4,R,3100,6,4100,2.28,"2, undivided",37, ,0,,29,84,CITY,0,,,33,aa37323b-9205-469d-840d-795f873844f9,3128.03479259846
82,CLOVIS AV,,HARWOOD RD,CAMDEN AV,30,2014-08-01T00:00:00.000Z,9,A,2700,1,1200,1.49,"2, undivided",31, ,0,,23,85,CITY,0,,,28,7b700f86-9ecc-4706-bc0a-862f6f34ffd5,2774.40461490821
83,COE AV,,LINCOLN AV,BIRD AV,30,2013-08-01T00:00:00.000Z,6,S,2100,11,5450,4.63,"2, undivided",34, ,0,,27,92,CITY,0,,,31,3f3867ca-4ef0-4568-8071-4e9f737e7942,2104.59069570828
84,COLEMAN AV,,JULIAN ST,TAYLOR ST,40,2012-04-04T00:00:00.000Z,3,V,5100,16,21700,0.7,"4-5, divided",41, ,0,,31,77,CITY,0,,,37,36d66bba-28a9-4f47-92b3-c922a51dc1ba,5124.22338773136
85,COLEMAN RD,,ALMADEN EX,SANTA TERESA BL,40,2013-05-22T00:00:00.000Z,10,Y,4350,29,21300,1.51,"4, divided",44, ,0,,35,88,CITY,0,,,40,02799219-57b8-4123-ae7f-0ade1a9690d4,4427.55423201304
86,COLEMAN RD,,CAMDEN AV,ALMADEN EX,40,2013-06-04T00:00:00.000Z,10,A,10750,27,9900,1.22,"2, 4, divided/undivided",43, ,0,,35,85,CITY,0,,,39.3,96b1c6e9-006d-4655-9be5-f289a54225a7,10707.1802770152
87,COMMERCIAL ST,,FOURTH ST,TENTH ST,30,2014-01-13T00:00:00.000Z,3,R,2080,1,4200,0.55,"2, undivided w/2-way LT lane",33, ,0,,25,88,CITY,0,,,29,5c566d9a-15a5-4ad8-9876-263bf970ba44,2153.03638540443
88,COMMERCIAL ST,,OAKLAND RD,BERRYESSA RD,35,2011-06-15T00:00:00.000Z,4,R,3200,35,24100,2.19,"2, undivided",36, ,0,,27,77,CITY,0,,,33,fb42793e-1dff-4153-9ba5-00fab99e6330,3201.39608047514
89,COMPONENT DR,,FIRST ST,ZANKER RD,35,2012-06-14T00:00:00.000Z,4,R,1560,1,3200,0.97,"2, undivided",37, ,0,,28,75,CITY,0,,,32,025bdf9e-6c61-4344-83b3-f6759cc22b17,1569.39132209237
90,CONCOURSE DR,,RINGWOOD AV,QUME DR,35,2013-12-05T00:00:00.000Z,4,R,2730,5,2100,4.21,"2, undivided w/2-way LT lane",39, ,0,,30,77,CITY,0,,,34,2c0ec010-fc73-460b-959d-271dd78f90aa,2723.27896712015
91,COPPERFIELD DR (L),,CAPITOL EX,VISTAPARK DR,25,2016-04-29T00:00:00.000Z,10,X,1000,3,3950,3.66,"2, 4, divided",31, ,1,,22,75,CITY,0,,,27,f1a44dca-ffc7-49e2-96d5-07ce27b0a88c,1018.07473894118
92,COTTLE RD,,CURIE DR,SANTA TERESA BL,35,2013-06-10T00:00:00.000Z,2,Y,3200,18,8100,3.35,"2, undivided w/ 2-way LT lane",40, ,0,,30,83,CITY,0,,,36,34302768-13f3-4f47-8bae-fa0d9719e6ef,3323.81815456769
93,COTTLE RD,,SANTA TERESA BL,HAYES AV,35,2017-06-28T00:00:00.000Z,2,Y,6600,72,29550,1.78,"4, 6, divided",39.7,,0,,31,80,CITY,0,,,34.7,d7c74da9-0351-4c7d-ae73-f0a3750d69ba,6676.28103080181
94,COYOTE RD,,SENTER RD,SNOW DR,30,2011-07-11T00:00:00.000Z,2,X,4700,23,3100,7.61,"2, undivided",32, ,0,,25,88,CITY,0,,,28,4b309a6a-05a2-4a6c-9139-245c533259dc,4691.63202577158
95,COYOTE RD,,SILVER CREEK VALLEY RD,SNOW DR,35,2011-07-11T00:00:00.000Z,2,X,9900,12,8700,0.67,"2, undivided",37.5, ,0,,30,90,CITY,0,,,34.5,ef1ef4d3-c5c1-4580-bb4a-e7b088630a53,11382.5181213581
96,CROPLEY AV,,CAPITOL AV,PIEDMONT RD,35,2010-11-23T00:00:00.000Z,4,W,8700,47,13850,1.88,"4, undivided; 2, undivided 2-way LT",40, ,0,,31,86,CITY,0,,,36,9c5190d0-699e-4fc1-9de5-005abab51324,8771.47363694076
97,CROSS SPRINGS DR (L),,WINFIELD BL,MAZZONE DR,30,1993-08-04T00:00:00.000Z,10,A,1000,0,1210,0,g / 2,37,,1,31.200000,25,68,CITY,0,,,,15217a15-d012-46b5-8285-e5e9fc247c53,1005.41308627276
98,CRYSTAL SPRINGS DR (L),,CAMDEN AV,GOLF CREEK DR,25,1993-08-04T00:00:00.000Z,10,A,4325,4,650,6.67,grade sep,39,,1,30.100000,26,47,CITY,0,,,,cdb449d6-c048-4ac0-bf84-7b18d4f415d9,4291.24534592219
99,CUNNINGHAM AV,,CAPITOL EX,WHITE RD,35,2014-12-05T00:00:00.000Z,8,C,3520,9,4100,3.01,"2, undivided",38.5, ,0,,30,84,CITY,0,,,35,ae3dc1c1-8f84-473a-9422-a035993fbed5,3612.40113451092
100,CURIE DR,,COTTLE RD,SAN IGNACIO AV,30,2016-02-15T00:00:00.000Z,2,Y,3760,0,1850,0,"2, undivided",33, ,0,,25,86,CITY,0,,,29,5ccb1168-3622-4f75-ae39-b49bde27d03d,3767.65419490676
101,CURIE DR,,SNELL AV,COTTLE RD,30,2016-02-15T00:00:00.000Z,2,Y,8180,5,1800,1.64,"2, undivided",32.3, ,0,,25,91,CITY,0,,,29.5,26e35453-fb6e-4ffb-8758-c3b74a35c416,8197.80257955184
102,CURTNER AV,,ALMADEN RD,MONTEREY RD,40,2012-02-09T00:00:00.000Z,7,LT,7150,199,30600,4.39,"4, 6, divided",42,,0,,34,82,CITY,0,,,38,0c4b1453-8e8d-46b8-8f7b-fd4c72da8e67,7153.11987787219
103,CURTNER AV,,BASCOM AV,MERIDIAN AV,35,2018-07-20T00:00:00.000Z,9,T,7500,37,15350,1.55,"3-4, undivided",39.7, ,0,,33,94,CITY,0,,,36.7,f8868ebd-bed9-48bc-89eb-7e916561c104,7461.10298857586
104,CURTNER AV,,MERIDIAN AV,ALMADEN RD,35,2011-03-11T00:00:00.000Z,6,T,10250,82,17700,2.18,"4, undivided",39, ,0,,32,84,CITY,0,,,35.3,2963bfcc-0faf-4b9c-9ef1-f04d5cd7ee44,10366.9851302477
