X,Y,AccidentId,AccidentDateTime,AStreetNameAndSuffix,BStreetNameAndSuffix,FatalInjuries,MajorInjuries,ESRI_OID,Fatal_MajorInjuries,Involving,Nearest_Intersection,GlobalID
-121.98584205788967,37.280288361681073,547683,2014-06-16T16:55:00.000Z,GRIMSBY DR,MAROEL DR,0,1,34,1,Bicyclist,GRIMSBY DR & MAROEL DR,dddbc09f-d92d-4ca2-9f2f-97ab9b30b3a9
-121.881172442009174,37.289150760458838,542773,2013-08-02T20:09:00.000Z,ALMADEN EX,IRONWOOD DR,0,1,35,1,Bicyclist,ALMADEN EX & IRONWOOD DR,aa5a67cc-4c75-436b-9012-42c0ae942f31
-121.877824205897852,37.307422838107172,547664,2015-02-07T19:55:00.000Z,ALMADEN EX,SAN JOSE AV,1,0,36,1,Bicyclist,ALMADEN EX & SAN JOSE AV,a79aadca-faaa-4ae7-b95f-f9473776390e
-121.90269372861799,37.310700857232995,547731,2014-06-23T21:57:00.000Z,BROADWAY AV,LINCOLN AV,0,1,37,1,Pedestrian,BROADWAY AV & LINCOLN AV,33909bc0-0a1f-40fb-9d9d-e9ba9ebf68a3
-121.686620512183296,37.160486411556072,565180,2017-05-31T15:17:00.000Z,DOUGHERTY AV,MADRONE AV,1,0,38,1,Motorist,825' west of DOUGHERTY AV & MADRONE AV,bee1549f-c87d-4b63-bc74-f72cb8b353ea
-121.827019535393958,37.350838342361996,560428,2016-03-05T23:02:00.000Z,CAPITOL EX,STORY RD,0,1,39,1,Pedestrian,CAPITOL EX & STORY RD,27a3c69b-4bbc-419a-98db-bb6cbdb31a7a
-121.87101272935125,37.375913308810532,542823,2013-08-06T10:23:00.000Z,BERRYESSA RD,JUNESONG WY,0,1,40,1,Motorist,BERRYESSA RD & JUNESONG WY,7465685d-ce04-49b9-9ac8-65620ddb81ae
-121.917076297847515,37.365323191757305,560525,2016-07-04T07:01:00.000Z,SKYPORT DR,TECHNOLOGY DR,0,1,41,1,Motorist,SKYPORT DR & TECHNOLOGY DR,23dac33a-f5c3-4718-bc11-4502b6d83b5c
-121.851054802171504,37.259726665759466,553205,2015-06-04T17:24:00.000Z,CHYNOWETH AV,HYDE PARK DR,0,1,42,1,Bicyclist,CHYNOWETH AV & HYDE PARK DR,bc2e03e3-316a-4b58-aad0-f94e7b1b8a10
-121.857715346033885,37.360130964345657,549342,2014-10-03T07:34:00.000Z,CHECKERS DR,MCKEE RD,0,1,43,1,Pedestrian,CHECKERS DR & MCKEE RD,44d55c9d-56ee-496c-9cb9-be17caf70e6b
-121.92269784282567,37.239185978305585,541382,2013-04-24T15:56:00.000Z,ANNE WY,LEIGH AV,0,1,44,1,Motorist,ANNE WY & LEIGH AV,72ff40e6-bc85-4d10-9b04-e2530dde33f3
-121.853795843220354,37.353651371647118,541447,2013-04-27T21:50:00.000Z,ALUM ROCK AV,EASTGATE AV,0,1,45,1,Pedestrian,ALUM ROCK AV & EASTGATE AV,8534cc70-3ffb-4592-89ca-a17aeba9de12
-121.902344767450671,37.353881566564908,542072,2013-05-16T14:14:00.000Z,HEDDING ST,SECOND ST,0,1,46,1,Pedestrian,HEDDING ST & SECOND ST,62bcae19-d495-4baa-9cd4-621bd8dd1734
-121.844028186580502,37.353980488566002,540252,2013-05-01T09:47:00.000Z,PRESERVATION DR,SAN ANTONIO ST,1,0,47,1,Pedestrian,150' west of PRESERVATION DR & SAN ANTONIO ST,56604dd7-fe15-4736-b9b0-4d75b885a16d
-121.906217832041762,37.326227216109693,542990,2013-08-14T14:20:00.000Z,PARK AV,SUNOL ST,0,1,48,1,Motorist,PARK AV & SUNOL ST,a4259d89-a910-4a95-bfb7-cfe4125d7040
-121.796591605139895,37.297840779565242,547665,2015-01-26T12:01:00.000Z,EDENWOOD DR,YERBA BUENA RD,1,0,49,1,Pedestrian,EDENWOOD DR & YERBA BUENA RD,a3c987b4-3eeb-463a-a5ac-c8e26da9fa4e
-121.922539768757844,37.303855114345758,542328,2013-07-05T12:15:00.000Z,DE ROSE WY,LEIGH AV,0,1,50,1,Motorist,DE ROSE WY & LEIGH AV,c4ee5f81-bf5e-4cb7-81b3-ce1bd4399308
-121.932046428084277,37.327810497566425,542342,2013-07-06T03:10:00.000Z,BASCOM AV,NAGLEE AV,0,1,51,1,Motorist,200' north of BASCOM AV & NAGLEE AV,f5c5ab21-a27f-4361-beb0-e4d07ca2a5d4
-121.846587446506135,37.265868804286903,542756,2013-05-25T20:03:00.000Z,BRANHAM LN,VISTAPARK DR,0,1,52,1,Motorist,BRANHAM LN & VISTAPARK DR,19174421-a412-45fd-a68a-c507893d375b
-121.943341966367981,37.323363257299121,544904,2013-12-15T21:27:00.000Z,MONROE ST,STEVENS CREEK BL,0,1,53,1,Pedestrian,200' west of MONROE ST & STEVENS CREEK BL,6299b898-7eb7-4831-a611-7eceee96d950
-121.90429242941434,37.323880410150913,547873,2014-06-29T18:45:00.000Z,MCEVOY ST,SAN CARLOS ST,0,1,54,1,Bicyclist,MCEVOY ST & SAN CARLOS ST,b1037f89-32e5-49a6-b8b4-d05a09ed5c80
-122.003386345443147,37.323005002688653,545639,2014-02-05T15:13:00.000Z,STERN AV,STEVENS CREEK BL,0,1,55,1,Bicyclist,245' south of STERN AV & STEVENS CREEK BL,dcf6aafc-95b4-4d1d-a080-d403f10f55a2
-121.852444221357032,37.294722526574802,543712,2013-09-22T00:08:00.000Z,MONTEREY RD,UMBARGER RD,0,1,56,1,Motorist,MONTEREY RD & UMBARGER RD,699b4290-61cc-4037-80ae-c766677a05b6
-121.79890270196347,37.257234427732818,543599,2013-09-17T06:23:00.000Z,BLOSSOM HILL RD,SOUTH VALLEY FR,0,1,57,1,Motorist,BLOSSOM HILL RD & SOUTH VALLEY FR,af4aca00-0bea-4103-aae8-669726e84984
-121.924949429844787,37.323486353227921,547843,2014-06-27T19:35:00.000Z,HESTER AV,SAN CARLOS ST,0,1,58,1,Bicyclist,HESTER AV & SAN CARLOS ST,7cbbc55a-174e-4826-ab26-9ebf2fa2e29f
-121.892439190438992,37.234209022229358,543598,2013-09-17T04:12:00.000Z,COLEMAN RD,SENTINEL ST,0,1,59,1,Motorist,COLEMAN RD & SENTINEL ST,4eaef675-ffda-4f06-9a3c-988c54937b8c
-121.84302651968504,37.370082251983249,543714,2013-09-22T02:03:00.000Z,CAPITOL AV,MCKEE RD,0,1,60,1,Motorist,300' south of CAPITOL AV & MCKEE RD,5fe6695d-af38-4d0d-bb12-e7ab849f19f6
-121.916552330781101,37.33532601277161,545851,2014-02-20T12:49:00.000Z,ALAMEDA ,FREMONT ST,0,1,61,1,Bicyclist,ALAMEDA  & FREMONT ST,5f9bef3b-8a43-45e4-8530-ebe08bee4f1a
-121.856219841589365,37.38968915495682,558479,2016-05-18T07:32:00.000Z,BERRYESSA RD,MORRILL AV,1,0,62,1,Motorist,235' south of BERRYESSA RD & MORRILL AV,82121317-c172-44dc-aed5-b4fc89627536
-121.861190976847368,37.303598901606918,555216,2015-10-12T19:45:00.000Z,CURTNER AV,MONTEREY RD,0,1,63,1,Pedestrian,311' east of CURTNER AV & MONTEREY RD,73670293-7270-414b-a9b4-3d0ec33e02ce
-121.783689671553731,37.260294867909018,555232,2015-12-07T09:41:00.000Z,HELLYER AV,SILVER CREEK VALLEY RD,1,0,64,1,Motorist,HELLYER AV & SILVER CREEK VALLEY RD,c0d86d1a-6f3a-49ce-8eee-d6159964b309
-121.931654928947708,37.280185721764582,558420,2016-04-03T00:16:00.000Z,BASCOM AV,DRY CREEK RD,0,1,65,1,Bicyclist,410' south of BASCOM AV & DRY CREEK RD,59b83400-eeef-4cf0-b765-c641d32f175d
-121.81923429171124,37.29920139791372,558455,2016-04-30T21:48:00.000Z,BRANDYBUCK WY,MCLAUGHLIN AV,0,1,66,1,Motorist,BRANDYBUCK WY & MCLAUGHLIN AV,a99e0cb7-bbb9-4b46-8171-fd6c88da5de3
-121.794603042575858,37.259639855344616,558480,2016-05-15T20:57:00.000Z,CENTURY PLAZA WY,COYOTE RD,1,0,67,1,Motorist,CENTURY PLAZA WY & COYOTE RD,6b7e72f3-2e5f-459e-9ccc-ccdccebf439f
-121.828227296576131,37.312669823735909,555237,2015-10-18T12:18:00.000Z,FLORY DR,PELLIER CT,0,1,68,1,Motorist,FLORY DR & PELLIER CT,1b09b10c-bb5f-46f2-9762-2e0785243c3b
-121.918722080316442,37.317114736167795,558516,2016-02-20T14:15:00.000Z,PARKMOOR AV,SINCLAIR FR,0,1,69,1,Motorist,PARKMOOR AV & SINCLAIR FR,fa14de32-b1ae-4f2f-9944-8ff60efede5b
-121.904021514798217,37.292048129788213,558640,2016-02-29T13:25:00.000Z,GLEN ELLEN WY,HICKS AV,0,1,70,1,Motorist,GLEN ELLEN WY & HICKS AV,21f032fa-c9da-468e-a9bf-92ef5b76a510
-121.856576996248265,37.316218012787992,558514,2016-02-20T12:14:00.000Z,NEEDLES DR,SENTER RD,0,1,71,1,Bicyclist,123' east of NEEDLES DR & SENTER RD,ff937961-e84c-4d6e-ab68-821affaf830a
-121.897056502172475,37.362174872169341,558629,2016-02-19T10:00:00.000Z,COMMERCIAL ST,TENTH ST,0,1,72,1,Bicyclist,COMMERCIAL ST & TENTH ST,2c6d4ab8-084e-4edd-bb6c-7d22678687bf
-121.98569694923529,37.297260071994721,558704,2016-02-10T17:46:00.000Z,COUNTRY LN,SARATOGA AV,0,1,73,1,Bicyclist,COUNTRY LN & SARATOGA AV,4c4082cb-3836-4584-a416-384a1be203ab
-121.837473014491025,37.352130265599044,558607,2016-06-01T00:27:00.000Z,DOBERN AV,JACKSON AV,1,0,74,1,Pedestrian,DOBERN AV & JACKSON AV,7281e492-4e21-4fae-951f-d2ee5d535439
-121.922308671809319,37.308785527963181,558692,2016-02-12T21:07:00.000Z,GOODWIN AV,LEIGH AV,0,1,75,1,Pedestrian,GOODWIN AV & LEIGH AV,12cb6e2c-459d-4124-9313-198d206656cc
-121.879565680483907,37.275064154014466,544395,2014-11-04T07:43:00.000Z,ALMADEN EX,HILLSDALE AV,1,0,76,1,Motorist,ALMADEN EX & HILLSDALE AV,2ebf56ad-7319-4f8e-b230-ccdfa4f86769
-121.889523622466868,37.30570676957872,555414,2015-10-31T18:46:00.000Z,BIRD AV,BUCHSER WY,0,1,77,1,Bicyclist,BIRD AV & BUCHSER WY,d84d9575-180e-4c8a-9ad6-e65209298fca
-121.884319524946605,37.291043463749503,548118,2014-07-17T00:06:00.000Z,CELESTINE AV,CURTNER AV,0,1,78,1,Motorist,CELESTINE AV & CURTNER AV,4425cc82-aea8-4246-a7ff-1c186fb7ecc7
-121.886041618921865,37.335836626958539,544441,2013-11-24T01:48:00.000Z,FOURTH ST,SAN FERNANDO ST,0,2,79,2,Motorist,600' south of FOURTH ST & SAN FERNANDO ST,72b4e270-8d92-45c6-a2d2-a86e6624bf5c
-121.740575475690804,37.217523599514941,544490,2013-11-28T00:02:00.000Z,COYOTE RANCH RD,MONTEREY RD,0,1,80,1,Motorist,338' south of COYOTE RANCH RD & MONTEREY RD,9480fbb1-6f92-4b7a-9789-d90952914652
-121.922809639389087,37.351821091638961,560571,2016-07-06T14:32:00.000Z,COLEMAN AV,NEWHALL DR,0,1,81,1,Motorist,COLEMAN AV & NEWHALL DR,fa9a087a-5bd2-49eb-abe5-3137d6ef75c5
-121.882129704112387,37.403324872251396,560622,2016-07-10T12:36:00.000Z,CAPITOL AV,CROPLEY AV,0,1,82,1,Motorist,CAPITOL AV & CROPLEY AV,5b8002a9-8908-4be2-a2f7-87d58229ee65
-121.93341265895917,37.275237450879089,560639,2016-07-11T09:18:00.000Z,BASCOM AV,ELDEN DR,0,1,83,1,Motorist,234' north of BASCOM AV & ELDEN DR,a2c96636-a83d-4cc4-ae0c-bb2a813cbc39
-121.834382135516364,37.348831761456026,555384,2015-10-29T18:20:00.000Z,CINDERELLA LN,JACKSON AV,0,1,84,1,Bicyclist,CINDERELLA LN & JACKSON AV,c9e942fc-f672-4f90-9ecc-c0addc9a3331
-121.930625234467229,37.279741705146854,544099,2013-11-08T21:59:00.000Z,DRY CREEK RD,PAULINE DR,0,1,85,1,Motorist,DRY CREEK RD & PAULINE DR,2f299ff2-1ff6-44d7-b9b1-08f9459d15a7
-121.877634863004971,37.320031401580849,544115,2013-11-09T23:17:00.000Z,FIRST ST,GOODYEAR ST,0,2,86,2,Bicyclist,FIRST ST & GOODYEAR ST,554ab757-ed87-4d1a-a47b-a062e0dc974a
-121.817196920570069,37.313308764669131,544393,2014-11-11T16:28:00.000Z,BARBERRY LN,KING RD,1,0,87,1,Pedestrian,BARBERRY LN & KING RD,c5f99d6f-a7a3-476b-91b6-b5dbe4dc0d4c
-121.817292641975712,37.241077770037769,544460,2013-11-25T14:52:00.000Z,CALERO AV,LEAN AV,0,1,88,1,Bicyclist,458' north of CALERO AV & LEAN AV,8c5498fe-b46d-4687-913e-52003642fd28
-121.903426677819141,37.33540578383618,544476,2013-11-26T17:47:00.000Z,JULIAN ST,MONTGOMERY ST,0,1,89,1,Motorist,JULIAN ST & MONTGOMERY ST,57bae637-8546-4977-bd1d-75c45f52ca72
-121.808081713373198,37.311437546658887,544901,2013-12-15T19:32:00.000Z,ABORN RD,CAPITOL EX,0,1,90,1,Pedestrian,ABORN RD & CAPITOL EX,92fca13a-54a5-4d4e-9b2e-2e800de11c18
-121.869084434738895,37.298383559341097,544934,2013-12-17T02:50:00.000Z,CURTNER AV,STONE AV,0,1,91,1,Motorist,CURTNER AV & STONE AV,ebb3218f-aa9c-40a3-a6d2-05ba904e3325
-121.901835984483611,37.351205231007306,560646,2016-07-11T16:37:00.000Z,FIRST ST,MISSION ST,0,1,92,1,Bicyclist,FIRST ST & MISSION ST,96c13459-a93e-43a2-8a38-adec24d9d7b0
-121.810420537689168,37.346566297890718,558675,2016-02-13T19:12:00.000Z,ROCKY MOUNTAIN DR,WHITE RD,0,1,93,1,Motorist,82' south of ROCKY MOUNTAIN DR & WHITE RD,686bb2d9-eff7-4859-9441-59dc9a3566f0
-121.992101262117117,37.323059127839151,543805,2013-10-10T18:17:00.000Z,LOMA LINDA DR,STEVENS CREEK BL,0,1,94,1,Motorist,300' west of LOMA LINDA DR & STEVENS CREEK BL,f33fad6c-b4f6-4a64-b286-89f623f4e1cc
-121.857472204652311,37.330174133376794,544114,2013-11-09T21:44:00.000Z,LUCRETIA AV,STORY RD,0,1,95,1,Pedestrian,LUCRETIA AV & STORY RD,fec9a565-69a1-4d61-86d9-8375cf083339
-121.867751255698437,37.347004676835738,540341,2014-03-09T01:37:00.000Z,SANTA CLARA ST,TWENTY FOURTH ST,1,2,96,3,Motorist,148' east of SANTA CLARA ST & TWENTY FOURTH ST,1f54e218-a391-44eb-842c-2ce51943377d
-121.761703161395289,37.182242524054125,544404,2013-11-22T14:05:00.000Z,BAILEY AV,MCKEAN RD,0,1,97,1,Motorist,1584' south of BAILEY AV & MCKEAN RD,30a10fd8-3d11-4e18-b404-f56fa4e6d1b6
-121.759725258844526,37.282944835726411,545143,2014-01-01T01:53:00.000Z,SAN FELIPE RD,SCENIC MEADOW LN,0,1,98,1,Motorist,805' north of SAN FELIPE RD & SCENIC MEADOW LN,19a8db74-2578-4f10-aba1-55cf13490d5e
-121.825906176950056,37.322376181699006,560581,2016-09-20T00:22:00.000Z,KING RD,TULLY RD,1,0,99,1,Pedestrian,KING RD & TULLY RD,2a2ad032-4c2c-4ed2-aab5-f0898650b3f7
-121.825906176950056,37.322376181699006,555368,2015-10-28T10:30:00.000Z,KING RD,TULLY RD,0,1,100,1,Pedestrian,134' west of KING RD & TULLY RD,6e85c4b9-27e2-4526-a7f9-ab208e4c0b86
-121.922539768757844,37.303855114345758,555417,2015-10-31T16:47:00.000Z,DE ROSE WY,LEIGH AV,0,1,101,1,Motorist,DE ROSE WY & LEIGH AV,9ca15f72-bde2-458d-ab16-e7b4904d04f3
-121.87910261918411,37.312823058131599,558282,2016-03-18T22:13:00.000Z,ALMA AV,VINE ST,0,1,102,1,Motorist,ALMA AV & VINE ST,97a8b0b2-7f51-4d5f-9328-a295606b6a54
-121.86232045632643,37.362626644107024,555436,2015-11-01T12:50:00.000Z,AVALANI AV,LUBY DR,0,1,103,1,Pedestrian,AVALANI AV & LUBY DR,b5e9b2ca-1562-4789-aef4-a8c01018a055
-121.851474337055237,37.334198597573867,558357,2016-04-20T23:44:00.000Z,FELIPE AV,STORY RD,1,0,104,1,Pedestrian,399' west of FELIPE AV & STORY RD,3cdd352f-ab35-4492-86cf-79a5447bf0b3
-121.837603353465724,37.373762335305578,555561,2015-11-07T13:46:00.000Z,FRANCIS DR,MCKEE RD,0,1,105,1,Bicyclist,FRANCIS DR & MCKEE RD,dc93a209-b1a9-45eb-ac8d-bb79906ca9f9
-121.906200250223023,37.220641748997146,555629,2015-09-25T09:34:00.000Z,GUADALUPE MINES RD,VIA LUGANO ,1,0,106,1,Motorist,GUADALUPE MINES RD & VIA LUGANO ,f2ad8b1c-bad0-4e18-b2e2-42054d6a5f90
-121.908283867392356,37.266820256049691,555645,2016-01-12T08:13:00.000Z,HILLSDALE AV,KIRK RD,1,0,107,1,Motorist,HILLSDALE AV & KIRK RD,8d418617-3bc5-4398-8c6b-ba492d66b98b
-121.920528173099115,37.364044376841527,555628,2015-07-01T10:30:00.000Z,AIRPORT BL,TERMINAL DR,1,0,108,1,Motorist,AIRPORT BL & TERMINAL DR,7b32095f-3ab1-4bca-9f7a-c06724985e03
-121.856841869102297,37.26599359253462,555627,2013-06-22T15:36:00.000Z,BRANHAM LN,NARVAEZ AV,0,1,109,1,Bicyclist,BRANHAM LN & NARVAEZ AV,c0a41fec-9ca9-4063-a6d9-491884ea4983
-121.843474436367927,37.303607578013377,555631,2015-12-19T02:51:00.000Z,FELDSPAR DR,SENTER RD,1,0,110,1,Pedestrian,FELDSPAR DR & SENTER RD,be02092a-abdf-4a32-94ba-c614292d1249
-121.870383309742735,37.229298853371652,555630,2015-11-09T03:55:00.000Z,ALMADEN EX,REDMOND AV,1,0,111,1,Motorist,ALMADEN EX & REDMOND AV,e076ae28-8105-4f8c-b4d9-34e6ae5b5413
-121.973683052936593,37.418283705793364,555679,2015-11-14T10:49:00.000Z,LAFAYETTE ST,GOLD CONNECTOR ST,0,1,112,1,Motorist,LAFAYETTE ST & GOLD CONNECTOR ST,de359378-2146-4017-8192-7535a42363c2
-121.817403811342416,37.264636939919171,555748,2015-11-18T19:00:00.000Z,BOUGAINVILLEA DR,MONTEREY RD,0,1,113,1,Motorist,BOUGAINVILLEA DR & MONTEREY RD,b773de89-9e9a-449a-b6db-f184cee00f9a
-121.892556526804327,37.240674159089984,555685,2015-11-14T16:18:00.000Z,BLOSSOM HILL RD,VASSAR DR,0,1,114,1,Pedestrian,BLOSSOM HILL RD & VASSAR DR,47da93f6-8fba-4487-9e2a-9c5d8136a133
-121.827062775803967,37.316310762431961,558448,2016-04-05T23:41:00.000Z,FLANIGAN DR,MELISSA CT,0,1,115,1,Motorist,63' west of FLANIGAN DR & MELISSA CT,9ce2f152-e6a2-44e6-92a0-e6938b242ca0
-121.800630732259108,37.335551686650263,555819,2016-02-07T14:07:00.000Z,TULLY RD,WHITE RD,1,0,116,1,Motorist,TULLY RD & WHITE RD,4acd5b36-edd4-4738-b2b2-9f8ba0fd4060
-121.892326542695429,37.326091883157609,555849,2015-11-22T09:55:00.000Z,GUADALUPE FR,WOZ WY,0,1,117,1,Motorist,285' south of GUADALUPE FR & WOZ WY,e282b663-08ec-4c81-af2e-27c75e4b4ee2
-121.787058671021313,37.324844431879406,555857,2015-11-22T19:15:00.000Z,QUIMBY RD,REMINGTON WY,0,1,118,1,Bicyclist,110' west of QUIMBY RD & REMINGTON WY,8dd7dcb0-9473-4724-b4a5-25c582a08eb7
-121.819954195250034,37.35561147334095,555875,2015-11-27T00:06:00.000Z,STONEHEDGE WY,STORY RD,0,1,119,1,Motorist,STONEHEDGE WY & STORY RD,8de2638f-68a8-4b1d-bd0c-c79675b9093d
