Accident_Date,Accident_Time,LATITUDE,LONGITUDE,AStreet,BStreet,FatalInjuries,MajorInjuries,Involving,Nearest_Intersection,SPD,LEN,ACC,VOL,F85th,LOCAL,F50th,Precip,Air max,min,obs,Accident
1/24/13,13:30:00.000Z,37.24318382,-121.8895376,BLOSSOM HILL RD,MERIDIAN AV,1,0,1,BLOSSOM HILL RD & MERIDIAN AV,35,8750,30,10800,39.3,0,36,0.19,60,43,51.5,1
1/24/13,17:54:00.000Z,37.3148808,-121.9059777,LINCOLN AV,LONUS ST,0,1,1,185' south of LINCOLN AV & LONUS ST,25,1875,4,5300,27,0,25,0.19,60,43,51.5,1
1/26/13,10:40:00.000Z,37.3456072,-121.8486271,KING RD,VIRGINIA PL,0,1,1,124' south of KING RD & VIRGINIA PL,35,4000,43,11400,37,0,34,0.11,59,45,52,1
1/28/13,07:09:00.000Z,37.27576619,-121.8407964,BARONI AV,SNELL AV,0,1,0,BARONI AV & SNELL AV,40,2350,18,13750,43,0,39,0.06,60,44,52,1
1/30/13,00:31:00.000Z,37.27080122,-121.8949732,HILLSDALE AV,JARVIS AV,0,1,0,150' east of HILLSDALE AV & JARVIS AV,35,4950,36,15700,39,0,35.5,0.04,61,42,51.5,1
2/4/13,13:40:00.000Z,37.32308712,-121.7964151,STURLA DR,WHITE RD,0,1,0,115' north of STURLA DR & WHITE RD,40,9000,27,15200,43.5,0,39,0.09,62,43,52.5,1
2/4/13,20:56:00.000Z,37.32313437,-121.981115,PALACE DR,STEVENS CREEK BL,0,1,2,PALACE DR & STEVENS CREEK BL,30,3000,44,15000,37,0,32,0.09,62,43,52.5,1
2/6/13,19:56:00.000Z,37.35958425,-121.8446173,JACKSON AV,LUZ AV,0,1,1,JACKSON AV & LUZ AV,35,7530,49,15150,38.5,0,35,0.1,61,44,52.5,1
2/7/13,15:10:00.000Z,37.34179261,-121.8172558,CAPITOL AV,OCALA AV,0,1,2,CAPITOL AV & OCALA AV,30,2800,7,1500,32.5,0,28,0.11,61,45,53,1
2/12/13,16:26:00.000Z,37.31344108,-121.8933384,DELMAS AV,SNYDER AV,0,1,0,DELMAS AV & SNYDER AV,25,2700,4,1200,27.5,0,24,0.15,63,45,54,1
2/13/13,04:29:00.000Z,37.35351921,-121.8639081,ST JAMES ST,THIRTY FIRST ST,0,1,0,258' east of ST JAMES ST & THIRTY FIRST ST,25,5050,51,5150,28.5,0,25,0.09,63,46,54.5,1
2/14/13,13:39:00.000Z,37.23883149,-121.7743981,BERNAL RD,MONTEREY RD,0,1,0,BERNAL RD & MONTEREY RD,40,1850,6,17600,42,0,36,0.22,63,45,54,1
2/15/13,22:04:00.000Z,37.35001253,-121.79802,MARTEN AV,MT KENYA DR,0,4,0,MARTEN AV & MT KENYA DR,30,2250,5,6600,34,0,29.5,0.18,62,45,53.5,1
2/17/13,23:20:00.000Z,37.25117468,-121.8345964,BLOSSOM HILL RD,WEST VALLEY FR,1,0,0,BLOSSOM HILL RD & WEST VALLEY FR,40,10800,188,37000,47,0,42.5,0.17,63,47,55,1
2/24/13,19:27:00.000Z,37.29241445,-121.9975387,LAWRENCE EX,PROSPECT RD,0,1,1,LAWRENCE EX & PROSPECT RD,35,5100,35,17650,39,0,36,0.04,63,45,54,1
2/25/13,18:58:00.000Z,37.32708563,-121.9360269,BELLEROSE DR,FOREST AV,0,1,2,300' east of BELLEROSE DR & FOREST AV,35,3800,14,6050,36.5,0,33,0.14,64,46,55,1
2/26/13,01:01:00.000Z,37.31331628,-121.8708492,BELLEVUE AV,MONTEREY RD,1,0,1,BELLEVUE AV & MONTEREY RD,25,4830,19,7950,29.5,0,26.5,0.08,64,46,55,1
3/1/13,18:56:00.000Z,37.30904683,-121.9500675,WILLIAMS RD,WINCHESTER BL,0,1,2,WILLIAMS RD & WINCHESTER BL,35,12800,45,7300,39.3,0,35.7,0.08,63,48,55.5,1
3/1/13,18:36:00.000Z,37.2658688,-121.8465874,BRANHAM LN,VISTAPARK DR,0,1,1,BRANHAM LN & VISTAPARK DR,35,3350,24,8250,40,0,35,0.08,63,48,55.5,1
3/4/13,20:31:00.000Z,37.35674946,-121.8627032,MCKEE RD,THIRTY FOURTH ST,0,2,1,MCKEE RD & THIRTY FOURTH ST,35,8200,197,17650,36.3,0,32.5,0.09,63,46,54.5,1
3/5/13,16:17:00.000Z,37.2988016,-121.8237983,CAPITOL EX,TUERS RD,1,0,1,135' east of CAPITOL EX & TUERS RD,30,5000,13,1950,32.5,0,28.5,0.12,63,47,55,1
3/9/13,02:00:00.000Z,37.32102331,-121.9085127,AUZERAIS AV,LINCOLN AV,0,1,2,AUZERAIS AV & LINCOLN AV,25,5950,34,5250,28.5,0,24.5,0.11,65,46,55.5,1
3/13/13,14:30:00.000Z,37.23274613,-121.8305572,SNELL AV,SUISSE DR,0,1,2,SNELL AV & SUISSE DR,30,8180,5,1800,32.3,0,29.5,0.14,66,47,56.5,1
3/13/13,15:42:00.000Z,37.22581281,-121.9034836,CAMDEN AV,COLEMAN RD,0,1,0,CAMDEN AV & COLEMAN RD,40,10750,27,9900,43,0,39.3,0.14,66,47,56.5,1
3/13/13,05:36:00.000Z,37.36635711,-121.8271466,ALUM ROCK AV,STEWART AV,0,1,1,ALUM ROCK AV & STEWART AV,30,8658,110,23950,34,0,30,0.14,66,47,56.5,1
3/19/13,17:12:00.000Z,37.34611438,-121.8696533,SANTA CLARA ST,TWENTY SECOND ST,0,3,0,SANTA CLARA ST & TWENTY SECOND ST,25,7300,21,2600,29.7,0,27,0.04,69,49,59,1
3/21/13,05:34:00.000Z,37.37776172,-121.853328,CEDARVILLE LN,MABURY RD,0,1,0,355' west of CEDARVILLE LN & MABURY RD,35,3400,16,10250,39,0,36,0.1,67,49,58,1
3/23/13,00:18:00.000Z,37.34077641,-121.9230547,ALAMEDA ,HEDDING ST,0,2,0,ALAMEDA  & HEDDING ST,35,5300,31,16100,39,1,35.5,0.08,66,48,57,1
3/26/13,02:01:00.000Z,37.3035989,-121.861191,CURTNER AV,MONTEREY RD,1,0,0,150' north of CURTNER AV & MONTEREY RD,40,4100,17,9100,39.7,0,36,0.07,67,47,57,1
3/27/13,16:13:00.000Z,37.25805051,-121.8801461,CHERRY AV,EDGAR CT,0,1,0,139' west of CHERRY AV & EDGAR CT,35,13450,54,7200,37.3,0,33.3,0.05,69,47,58,1
3/29/13,12:44:00.000Z,37.25082169,-121.8753283,ALMADEN EX,BLOSSOM HILL RD,0,1,1,153' south of ALMADEN EX & BLOSSOM HILL RD,40,6500,85,33500,41.3,0,38,0.02,69,47,58,1
3/29/13,17:00:00.000Z,37.38656307,-121.8605739,BERRYESSA RD,CAPITOL AV,0,1,0,BERRYESSA RD & CAPITOL AV,35,5800,27,13150,39.7,0,35.3,0.02,69,47,58,1
3/31/13,23:41:00.000Z,37.29810428,-121.8372551,LEWIS RD,ROCK RIVER CT,0,2,0,LEWIS RD & ROCK RIVER CT,30,3900,23,6250,32.5,0,29.5,0.04,71,48,59.5,1
3/31/13,19:28:00.000Z,37.31069799,-121.9243024,DI FIORE DR,FRUITDALE AV,0,1,0,326' north of DI FIORE DR & FRUITDALE AV,35,5200,68,12150,37.5,0,33.5,0.04,71,48,59.5,1
4/1/13,23:39:00.000Z,37.312421,-121.801923,ABORN RD,NIEMAN BL,1,0,0,ABORN RD & NIEMAN BL,40,10990,71,25800,43.7,0,39.3,0.03,68,47,57.5,1
4/3/13,00:45:00.000Z,37.28169141,-121.8390185,MONTEREY RD,RANCHO DR,0,1,2,511' north of MONTEREY RD & RANCHO DR,35,9700,139,11850,39.5,0,35.5,0.08,68,48,58,1
4/4/13,05:30:00.000Z,37.30932616,-121.8491063,PARROTT ST,SENTER RD,0,1,1,PARROTT ST & SENTER RD,35,4000,12,7150,38,0,34,0.07,69,48,58.5,1
4/5/13,14:19:00.000Z,37.30092212,-121.9767351,PAYNE AV,SAN TOMAS RD,0,1,0,PAYNE AV & SAN TOMAS RD,35,9300,20,11050,39,0,35,0.03,69,47,58,1
4/6/13,20:33:00.000Z,37.37511471,-121.8356216,MCKEE RD,WHITE RD,0,1,0,250' south of MCKEE RD & WHITE RD,35,8200,197,17650,36.3,0,32.5,0.03,69,49,59,1
4/8/13,12:15:00.000Z,37.35554407,-121.8406829,CAPITOL EX,JACKSON AV,0,1,0,299' west of CAPITOL EX & JACKSON AV,35,8200,196,28850,40.5,0,36.5,0.05,69,48,58.5,1
4/10/13,04:30:00.000Z,37.33725114,-121.8466553,BAYSHORE FR,STORY RD,0,1,2,BAYSHORE FR & STORY RD,35,8200,197,17650,36.3,0,32.5,0.01,70,49,59.5,1
4/12/13,21:12:00.000Z,37.30796347,-121.847667,SENTER RD,TULLY RD,0,1,1,SENTER RD & TULLY RD,30,3900,23,6250,32.5,0,29.5,0.06,70,48,59,1
4/13/13,14:46:00.000Z,37.37572765,-121.8951134,BERN CT,OAKLAND RD,0,1,0,100' south of BERN CT & OAKLAND RD,40,1850,1,2050,38,0,34,0.06,71,48,59.5,1
4/14/13,23:29:00.000Z,37.33030087,-121.8977705,DELMAS AV,SAN FERNANDO ST,0,1,1,346' north of DELMAS AV & SAN FERNANDO ST,25,2700,4,1200,27.5,0,24,0.03,70,49,59.5,1
4/15/13,01:27:00.000Z,37.32492272,-121.7969704,QUIMBY RD,WHITE RD,0,1,1,647' north of QUIMBY RD & WHITE RD,40,9000,27,15200,43.5,0,39,0.02,70,49,59.5,1
4/17/13,02:25:00.000Z,37.29241445,-121.9975387,LAWRENCE EX,PROSPECT RD,0,1,0,LAWRENCE EX & PROSPECT RD,35,5100,35,17650,39,0,36,0.05,68,50,59,1
4/20/13,21:58:00.000Z,37.26794904,-121.9046742,HILLSDALE AV,MERIDIAN AV,0,2,0,270' west of HILLSDALE AV & MERIDIAN AV,40,2350,20,19700,41.5,0,37.5,0.06,71,51,61,1
4/24/13,15:56:00.000Z,37.23918598,-121.9226978,ANNE WY,LEIGH AV,0,1,0,ANNE WY & LEIGH AV,35,5250,12,5900,39.5,0,35.5,0.02,70,49,59.5,1
4/24/13,21:30:00.000Z,37.3138211,-121.8079332,ABORN SQ,CAPITOL EX,0,1,0,274' south of ABORN SQ & CAPITOL EX,40,3300,42,31850,43,0,39.5,0.02,70,49,59.5,1
4/26/13,23:20:00.000Z,37.25117468,-121.8345964,BLOSSOM HILL RD,WEST VALLEY FR,1,0,0,180' east of BLOSSOM HILL RD & WEST VALLEY FR,40,10800,188,37000,47,0,42.5,0,73,50,61.5,1
4/27/13,23:04:00.000Z,37.30784488,-121.9221349,COLLEGE DR,LEIGH AV,0,1,0,COLLEGE DR & LEIGH AV,40,2700,27,24400,45,0,41,0.04,74,50,62,1
4/27/13,21:50:00.000Z,37.35365137,-121.8537958,ALUM ROCK AV,EASTGATE AV,0,1,1,ALUM ROCK AV & EASTGATE AV,35,3054,30,29000,41,0,36,0.04,74,50,62,1
4/28/13,14:50:00.000Z,37.26175374,-121.9223341,CAMDEN AV,LEIGH AV,0,1,0,CAMDEN AV & LEIGH AV,25,6973,14,1900,30.7,0,27.3,0.05,72,51,61.5,1
5/1/13,09:47:00.000Z,37.35398049,-121.8440282,PRESERVATION DR,SAN ANTONIO ST,1,0,1,150' west of PRESERVATION DR & SAN ANTONIO ST,35,4000,43,11400,37,0,34,0.02,73,51,62,1
5/2/13,20:40:00.000Z,37.25138032,-121.8278604,BLOSSOM HILL RD,KEYMAR DR,1,0,1,105' east of BLOSSOM HILL RD & KEYMAR DR,40,10800,188,37000,47,0,42.5,0.02,73,52,62.5,1
5/11/13,20:56:00.000Z,37.3034615,-121.8699826,CIMINO AV,LITTLE ORCHARD ST,1,0,1,144' south of CIMINO AV & LITTLE ORCHARD ST,40,4100,17,9100,39.7,0,36,0,75,51,63,1
5/14/13,15:24:00.000Z,37.27072684,-121.8490453,BLUEFIELD DR,VISTAPARK DR,1,2,1,796' east of BLUEFIELD DR & VISTAPARK DR,35,2600,3,3650,37,0,33,0,75,52,63.5,1
5/16/13,14:14:00.000Z,37.35388157,-121.9023448,HEDDING ST,SECOND ST,0,1,1,HEDDING ST & SECOND ST,35,3700,10,11750,39,0,34.5,0.06,74,52,63,1
5/16/13,16:58:00.000Z,37.36947755,-121.9154698,FIRST ST,METRO DR,0,1,0,FIRST ST & METRO DR,30,1080,1,3800,33,0,29,0.06,74,52,63,1
5/17/13,07:41:00.000Z,37.27811704,-121.8314117,EZIE ST,SENTER RD,0,1,0,307' east of EZIE ST & SENTER RD,30,2300,21,4800,34,0,29,0.01,73,53,63,1
5/18/13,21:14:00.000Z,37.25299861,-121.866778,BLOSSOM RIVER WY,WINFIELD BL,0,1,1,98' south of BLOSSOM RIVER WY & WINFIELD BL,35,2300,11,13300,39,0,36,0.01,75,53,64,1
5/20/13,22:57:00.000Z,37.32420542,-121.9011983,ROYAL AV,SAN CARLOS ST,0,1,0,251' west of ROYAL AV & SAN CARLOS ST,35,2180,18,6250,39,0,35,0.01,76,54,65,1
5/20/13,21:10:00.000Z,37.37004076,-121.8316537,MADELINE DR,WHITE RD,1,0,1,MADELINE DR & WHITE RD,30,2400,11,3500,36,0,30,0.01,76,54,65,1
5/20/13,07:35:00.000Z,37.30713475,-121.810848,CAPITOL EX,SILVER CREEK RD,1,0,2,CAPITOL EX & SILVER CREEK RD,35,3600,46,22900,39,0,34,0.01,76,54,65,1
5/22/13,11:59:00.000Z,37.38305136,-121.8566451,CAPITOL AV,PENITENCIA CREEK RD,0,1,0,340' north of CAPITOL AV & PENITENCIA CREEK RD,35,5050,19,7800,38.5,0,35,0,77,53,65,1
5/24/13,07:43:00.000Z,37.2506327,-121.9384475,COOPER AV,SAMARITAN DR,0,1,2,COOPER AV & SAMARITAN DR,35,3900,6,8300,38,0,34,0.01,77,55,66,1
5/24/13,01:56:00.000Z,37.3164212,-121.7751619,ABORN RD,RUBY AV,0,1,0,ABORN RD & RUBY AV,25,3700,7,9850,31.5,0,28.5,0.01,77,55,66,1
5/25/13,20:03:00.000Z,37.2658688,-121.8465874,BRANHAM LN,VISTAPARK DR,0,1,0,BRANHAM LN & VISTAPARK DR,35,3350,24,8250,40,0,35,0.01,76,54,65,1
5/27/13,14:00:00.000Z,37.24300043,-121.8689861,COLEMAN RD,WINFIELD BL,0,1,1,COLEMAN RD & WINFIELD BL,35,6350,41,13000,38,0,34.5,0.06,75,55,65,1
6/4/13,18:05:00.000Z,37.25663257,-121.8590007,SANTA TERESA BL,WEST VALLEY FR,0,1,0,SANTA TERESA BL & WEST VALLEY FR,40,20000,120,22100,45,0,40.5,0.01,77,55,66,1
6/8/13,17:39:00.000Z,37.32113309,-121.9058717,AUZERAIS AV,SUNOL ST,1,0,2,141' north of AUZERAIS AV & SUNOL ST,25,5950,34,5250,28.5,0,24.5,0.01,78,54,66,1
6/13/13,09:43:00.000Z,37.32102331,-121.9085127,AUZERAIS AV,LINCOLN AV,1,0,1,AUZERAIS AV & LINCOLN AV,25,5950,34,5250,28.5,0,24.5,0,80,55,67.5,1
6/17/13,02:01:00.000Z,37.2778191,-121.8718044,FOXWORTHY AV,HILLSDALE AV,1,1,0,FOXWORTHY AV & HILLSDALE AV,35,1950,14,10100,38,0,34,0,81,56,68.5,1
6/17/13,15:25:00.000Z,37.34684062,-121.9044956,GUADALUPE PW,TAYLOR ST,1,0,2,GUADALUPE PW & TAYLOR ST,35,5300,31,16100,39,1,35.5,0,81,56,68.5,1
6/22/13,15:36:00.000Z,37.26599359,-121.8568419,BRANHAM LN,NARVAEZ AV,0,1,2,BRANHAM LN & NARVAEZ AV,35,3440,8,7900,39,0,37,0,83,57,70,1
6/23/13,16:24:00.000Z,37.2250765,-121.7728118,CHANTILLEY LN,SANTA TERESA BL,0,1,0,300' north of CHANTILLEY LN & SANTA TERESA BL,45,9000,45,17100,47.5,0,43.3,0,81,57,69,1
6/28/13,12:55:00.000Z,37.27693303,-121.8419098,CAPITOL EX,SNELL AV,1,0,2,CAPITOL EX & SNELL AV,40,2350,18,13750,43,0,39,0,81,58,69.5,1
6/28/13,23:05:00.000Z,37.40724438,-121.8741366,CAMARGO DR,CROPLEY AV,0,1,2,348' west of CAMARGO DR & CROPLEY AV,35,8700,47,13850,40,0,36,0,81,58,69.5,1
7/1/13,20:30:00.000Z,37.36635711,-121.8271466,ALUM ROCK AV,STEWART AV,0,1,0,60' west of ALUM ROCK AV & STEWART AV,30,8658,110,23950,34,0,30,0,83,58,70.5,1
7/4/13,02:37:00.000Z,37.32316954,-121.9753642,KIELY BL,STEVENS CREEK BL,0,1,0,KIELY BL & STEVENS CREEK BL,30,3000,44,15000,37,0,32,0,83,57,70,1
7/5/13,11:25:00.000Z,37.24226583,-121.8602805,COLEMAN RD,SANTA TERESA BL,0,1,2,COLEMAN RD & SANTA TERESA BL,40,4350,29,21300,44,0,40,0,82,57,69.5,1
7/5/13,12:15:00.000Z,37.30385511,-121.9225398,DE ROSE WY,LEIGH AV,0,1,0,DE ROSE WY & LEIGH AV,35,8250,72,9950,40,0,36,0,82,57,69.5,1
7/6/13,03:10:00.000Z,37.3278105,-121.9320464,BASCOM AV,NAGLEE AV,0,1,0,200' north of BASCOM AV & NAGLEE AV,35,5040,19,11900,38,0,34.5,0,82,57,69.5,1
7/10/13,18:10:00.000Z,37.22165055,-121.862281,ALMADEN EX,CAMDEN AV,1,0,1,78' south of ALMADEN EX & CAMDEN AV,35,4550,14,4550,39,0,35,0,83,58,70.5,1
7/18/13,15:00:00.000Z,37.30131024,-121.8678646,LITTLE ORCHARD ST,PERRYMONT AV,0,1,2,LITTLE ORCHARD ST & PERRYMONT AV,40,4100,17,9100,39.7,0,36,0,83,59,71,1
7/19/13,21:43:00.000Z,37.34789386,-121.8116425,MT MCKINLEY DR,WHITE RD,1,0,0,MT MCKINLEY DR & WHITE RD,35,4000,25,9400,39,0,34,0,83,59,71,1
7/20/13,08:35:00.000Z,37.22406043,-121.7672509,AVENIDA ESPANA ,SANTA TERESA BL,0,1,0,AVENIDA ESPANA  & SANTA TERESA BL,30,3000,3,1500,32,0,29,0,82,59,70.5,1
7/25/13,08:01:00.000Z,37.36612543,-121.882944,BERRYESSA RD,COMMERCIAL ST,0,1,2,97' west of BERRYESSA RD & COMMERCIAL ST,40,11500,159,40150,43.3,0,39.7,0,82,59,70.5,1
7/28/13,23:30:00.000Z,37.31357492,-121.7942794,ABORN CT,ABORN RD,0,1,1,75' east of ABORN CT & ABORN RD,40,10990,71,25800,43.7,0,39.3,0,82,58,70,1
7/30/13,15:48:00.000Z,37.36090691,-121.8459013,ALEXIAN DR,JACKSON AV,0,1,2,ALEXIAN DR & JACKSON AV,35,7530,49,15150,38.5,0,35,0,83,58,70.5,1
7/30/13,23:15:00.000Z,37.21972279,-121.7619878,BAYLISS DR,SANTA TERESA BL,0,1,0,BAYLISS DR & SANTA TERESA BL,50,13100,14,4450,54.3,0,49.3,0,83,58,70.5,1
8/2/13,20:09:00.000Z,37.28915076,-121.8811724,ALMADEN EX,IRONWOOD DR,0,1,2,ALMADEN EX & IRONWOOD DR,35,7000,23,9000,37.5,0,34,0,82,59,70.5,1
8/6/13,10:23:00.000Z,37.37591331,-121.8710127,BERRYESSA RD,JUNESONG WY,0,1,0,BERRYESSA RD & JUNESONG WY,40,12600,56,15950,43.5,0,39.3,0,83,59,71,1
8/7/13,12:30:00.000Z,37.32762014,-121.8181535,EASTRIDGE WY,TULLY RD,0,1,0,EASTRIDGE WY & TULLY RD,35,4082,80,17100,39.5,0,35.5,0,84,60,72,1
8/8/13,20:41:00.000Z,37.2941793,-121.8340494,JACKIE DR,SENTER RD,0,1,1,JACKIE DR & SENTER RD,40,15150,187,23450,42.8,0,38.5,0,85,60,72.5,1
8/9/13,20:45:00.000Z,37.33482156,-121.8881485,SAN FERNANDO ST,SECOND ST,0,1,1,417' north of SAN FERNANDO ST & SECOND ST,25,8166,47,8750,29,0,25.7,0,83,60,71.5,1
8/10/13,23:54:00.000Z,37.25881308,-121.8257143,CHYNOWETH AV,DEREK DR,2,3,0,CHYNOWETH AV & DEREK DR,40,6000,21,9750,43.5,0,39,0,83,59,71,1
8/12/13,16:57:00.000Z,37.26360981,-121.9167808,HILLSDALE AV,ROSS AV,0,1,2,120' south of HILLSDALE AV & ROSS AV,40,2350,20,19700,41.5,0,37.5,0,83,59,71,1
8/13/13,16:21:00.000Z,37.35095159,-121.8363708,BAMBI LN,JACKSON AV,0,1,0,BAMBI LN & JACKSON AV,35,8350,140,20900,38,0,33.7,0,83,59,71,1
8/14/13,14:20:00.000Z,37.32622722,-121.9062178,PARK AV,SUNOL ST,0,1,0,PARK AV & SUNOL ST,25,920,4,2900,28,0,25,0,82,59,70.5,1
8/27/13,13:45:00.000Z,37.29241445,-121.9975387,LAWRENCE EX,PROSPECT RD,0,1,0,LAWRENCE EX & PROSPECT RD,35,5100,35,17650,39,0,36,0,84,58,71,1
8/30/13,21:17:00.000Z,37.33714982,-121.92792,HEDDING ST,PARK AV,0,1,0,HEDDING ST & PARK AV,30,6100,63,13950,34,0,30.3,0,81,59,70,1
9/2/13,03:18:00.000Z,37.36700284,-121.9135686,FIRST ST,SKYPORT DR,2,0,0,FIRST ST & SKYPORT DR,40,2000,20,7500,41,0,36,0,84,58,71,1
9/3/13,09:36:00.000Z,37.27801049,-121.8800521,ALMADEN EX,FOXWORTHY AV,1,0,1,ALMADEN EX & FOXWORTHY AV,30,2400,1,3200,33,0,30,0,82,58,70,1
9/4/13,11:21:00.000Z,37.36271984,-121.8755926,MABURY RD,TAYLOR ST,1,0,0,MABURY RD & TAYLOR ST,40,6650,32,12400,41.5,0,38,0,82,58,70,1
9/4/13,07:46:00.000Z,37.39794284,-121.8621367,GOMES DR,MORRILL AV,1,0,0,GOMES DR & MORRILL AV,30,3550,11,2500,34,1,30,0,82,58,70,1
9/6/13,14:24:00.000Z,37.2519814,-121.8075547,BLOSSOM HILL RD,POUGHKEEPSIE RD,1,0,0,576' east of BLOSSOM HILL RD & POUGHKEEPSIE RD,35,1100,22,14800,37,0,33,0,84,58,71,1
9/11/13,21:06:00.000Z,37.40332487,-121.8821297,CAPITOL AV,CROPLEY AV,0,1,0,CAPITOL AV & CROPLEY AV,35,8700,47,13850,40,0,36,0,82,57,69.5,1
9/17/13,06:23:00.000Z,37.25723443,-121.7989027,BLOSSOM HILL RD,SOUTH VALLEY FR,0,1,0,BLOSSOM HILL RD & SOUTH VALLEY FR,45,14200,170,31100,49.7,0,43.7,0.01,80,57,68.5,1
9/17/13,04:12:00.000Z,37.23420902,-121.8924392,COLEMAN RD,SENTINEL ST,0,1,0,COLEMAN RD & SENTINEL ST,35,12400,17,4100,39,0,35,0.01,80,57,68.5,1
9/18/13,12:53:00.000Z,37.33649539,-121.8764908,ELEVENTH ST,SAN CARLOS ST,0,1,0,ELEVENTH ST & SAN CARLOS ST,30,14650,183,25700,34.3,0,30.5,0,80,58,69,1
9/22/13,00:08:00.000Z,37.29472253,-121.8524442,MONTEREY RD,UMBARGER RD,0,1,0,MONTEREY RD & UMBARGER RD,35,4000,12,7150,38,0,34,0.02,82,57,69.5,1
9/22/13,02:03:00.000Z,37.37008225,-121.8430265,CAPITOL AV,MCKEE RD,0,1,0,300' south of CAPITOL AV & MCKEE RD,35,18700,76,21150,40,0,36,0.02,82,57,69.5,1
9/24/13,18:10:00.000Z,37.31072396,-122.0081711,BOLLINGER RD,TULIPAN DR,0,1,2,BOLLINGER RD & TULIPAN DR,25,3200,5,1900,30,1,25,0.02,80,57,68.5,1
9/26/13,19:15:00.000Z,37.30658313,-121.9136346,MERIDIAN AV,WESTWOOD DR,0,1,0,80' south of MERIDIAN AV & WESTWOOD DR,30,4070,12,8150,33,0,29,0.01,80,56,68,1
9/27/13,17:30:00.000Z,37.36815583,-121.9047098,OLD BAYSHORE HW,QUEENS LN,0,1,0,OLD BAYSHORE HW & QUEENS LN,40,2900,11,12650,41,0,37,0,79,57,68,1
10/5/13,08:47:00.000Z,37.3396409,-121.9245441,HEDDING ST,MORSE ST,0,1,2,HEDDING ST & MORSE ST,30,6100,63,13950,34,0,30.3,0.01,78,54,66,1
10/6/13,01:50:00.000Z,37.25041459,-121.8665631,BLOSSOM HILL RD,WINFIELD BL,1,2,0,BLOSSOM HILL RD & WINFIELD BL,35,1880,1,5550,39,0,35.5,0,78,55,66.5,1
10/6/13,16:40:00.000Z,37.27911168,-121.753743,MEADOWLANDS LN,SAN FELIPE RD,0,1,0,MEADOWLANDS LN & SAN FELIPE RD,35,5200,4,9250,39,0,35.5,0,78,55,66.5,1
10/10/13,18:17:00.000Z,37.32305913,-121.9921013,LOMA LINDA DR,STEVENS CREEK BL,0,1,0,300' west of LOMA LINDA DR & STEVENS CREEK BL,40,9750,86,28200,41,0,36.7,0.03,77,53,65,1
10/10/13,17:36:00.000Z,37.25723443,-121.7989027,BLOSSOM HILL RD,SOUTH VALLEY FR,0,1,0,BLOSSOM HILL RD & SOUTH VALLEY FR,45,14200,170,31100,49.7,0,43.7,0.03,77,53,65,1
10/13/13,18:43:00.000Z,37.35554407,-121.8406829,CAPITOL EX,JACKSON AV,0,1,0,CAPITOL EX & JACKSON AV,35,8200,196,28850,40.5,0,36.5,0.09,76,53,64.5,1
10/15/13,12:02:00.000Z,37.36898445,-121.9080968,BAYSHORE FR,OLD BAYSHORE HW,0,1,0,125' east of BAYSHORE FR & OLD BAYSHORE HW,40,2900,11,12650,41,0,37,0.02,75,52,63.5,1
