,Accident_Date,Accident_Time,LONGITUDE,LATITUDE,AStreet,BStreet,FatalInjuries,MajorInjuries,Involving,Nearest_Intersection,SPD,LEN,ACC,VOL,F85th,LOCAL,F50th,Precip,Air max,min,obs
39,2013-03-27,16:13:00.000Z,-121.88014609999999,37.25805051,CHERRY AV,EDGAR CT,0,1,0,139' west of CHERRY AV & EDGAR CT,35,13450,54,7200,37.3,0,33.3,0.05,69,47,58.0
40,2013-03-29,12:44:00.000Z,-121.8753283,37.25082169,ALMADEN EX,BLOSSOM HILL RD,0,1,1,153' south of ALMADEN EX & BLOSSOM HILL RD,40,6500,85,33500,41.3,0,38.0,0.02,69,47,58.0
41,2013-03-29,17:00:00.000Z,-121.8605739,37.38656307,BERRYESSA RD,CAPITOL AV,0,1,0,BERRYESSA RD & CAPITOL AV,35,5800,27,13150,39.7,0,35.3,0.02,69,47,58.0
42,2013-03-31,23:41:00.000Z,-121.8372551,37.29810428,LEWIS RD,ROCK RIVER CT,0,2,0,LEWIS RD & ROCK RIVER CT,30,3900,23,6250,32.5,0,29.5,0.04,71,48,59.5
43,2013-03-31,19:28:00.000Z,-121.9243024,37.31069799,DI FIORE DR,FRUITDALE AV,0,1,0,326' north of DI FIORE DR & FRUITDALE AV,35,5200,68,12150,37.5,0,33.5,0.04,71,48,59.5
44,2013-04-01,23:39:00.000Z,-121.801923,37.312421,ABORN RD,NIEMAN BL,1,0,0,ABORN RD & NIEMAN BL,40,10990,71,25800,43.7,0,39.3,0.03,68,47,57.5
45,2013-04-03,00:45:00.000Z,-121.83901850000001,37.28169141,MONTEREY RD,RANCHO DR,0,1,2,511' north of MONTEREY RD & RANCHO DR,35,9700,139,11850,39.5,0,35.5,0.08,68,48,58.0
46,2013-04-04,05:30:00.000Z,-121.8491063,37.30932616,PARROTT ST,SENTER RD,0,1,1,PARROTT ST & SENTER RD,35,4000,12,7150,38.0,0,34.0,0.07,69,48,58.5
47,2013-04-05,14:19:00.000Z,-121.9767351,37.30092212,PAYNE AV,SAN TOMAS RD,0,1,0,PAYNE AV & SAN TOMAS RD,35,9300,20,11050,39.0,0,35.0,0.03,69,47,58.0
48,2013-04-06,20:33:00.000Z,-121.8356216,37.37511471,MCKEE RD,WHITE RD,0,1,0,250' south of MCKEE RD & WHITE RD,35,8200,197,17650,36.3,0,32.5,0.03,69,49,59.0
49,2013-04-08,12:15:00.000Z,-121.84068290000002,37.35554407,CAPITOL EX,JACKSON AV,0,1,0,299' west of CAPITOL EX & JACKSON AV,35,8200,196,28850,40.5,0,36.5,0.05,69,48,58.5
50,2013-04-10,04:30:00.000Z,-121.84665530000001,37.33725114,BAYSHORE FR,STORY RD,0,1,2,BAYSHORE FR & STORY RD,35,8200,197,17650,36.3,0,32.5,0.01,70,49,59.5
51,2013-04-12,21:12:00.000Z,-121.84766699999999,37.30796347,SENTER RD,TULLY RD,0,1,1,SENTER RD & TULLY RD,30,3900,23,6250,32.5,0,29.5,0.06,70,48,59.0
52,2013-04-13,14:46:00.000Z,-121.89511340000001,37.37572765,BERN CT,OAKLAND RD,0,1,0,100' south of BERN CT & OAKLAND RD,40,1850,1,2050,38.0,0,34.0,0.06,71,48,59.5
53,2013-04-14,23:29:00.000Z,-121.89777050000001,37.33030087,DELMAS AV,SAN FERNANDO ST,0,1,1,346' north of DELMAS AV & SAN FERNANDO ST,25,2700,4,1200,27.5,0,24.0,0.03,70,49,59.5
54,2013-04-15,01:27:00.000Z,-121.79697040000002,37.32492272,QUIMBY RD,WHITE RD,0,1,1,647' north of QUIMBY RD & WHITE RD,40,9000,27,15200,43.5,0,39.0,0.02,70,49,59.5
55,2013-04-17,02:25:00.000Z,-121.9975387,37.29241445,LAWRENCE EX,PROSPECT RD,0,1,0,LAWRENCE EX & PROSPECT RD,35,5100,35,17650,39.0,0,36.0,0.05,68,50,59.0
56,2013-04-20,21:58:00.000Z,-121.9046742,37.26794904,HILLSDALE AV,MERIDIAN AV,0,2,0,270' west of HILLSDALE AV & MERIDIAN AV,40,2350,20,19700,41.5,0,37.5,0.06,71,51,61.0
57,2013-04-24,15:56:00.000Z,-121.9226978,37.23918598,ANNE WY,LEIGH AV,0,1,0,ANNE WY & LEIGH AV,35,5250,12,5900,39.5,0,35.5,0.02,70,49,59.5
58,2013-04-24,21:30:00.000Z,-121.8079332,37.3138211,ABORN SQ,CAPITOL EX,0,1,0,274' south of ABORN SQ & CAPITOL EX,40,3300,42,31850,43.0,0,39.5,0.02,70,49,59.5
59,2013-04-26,23:20:00.000Z,-121.83459640000001,37.25117468,BLOSSOM HILL RD,WEST VALLEY FR,1,0,0,180' east of BLOSSOM HILL RD & WEST VALLEY FR,40,10800,188,37000,47.0,0,42.5,0.0,73,50,61.5
60,2013-04-27,23:04:00.000Z,-121.92213490000002,37.30784488,COLLEGE DR,LEIGH AV,0,1,0,COLLEGE DR & LEIGH AV,40,2700,27,24400,45.0,0,41.0,0.04,74,50,62.0
61,2013-04-27,21:50:00.000Z,-121.85379579999999,37.35365137,ALUM ROCK AV,EASTGATE AV,0,1,1,ALUM ROCK AV & EASTGATE AV,35,3054,30,29000,41.0,0,36.0,0.04,74,50,62.0
62,2013-04-28,14:50:00.000Z,-121.9223341,37.26175374,CAMDEN AV,LEIGH AV,0,1,0,CAMDEN AV & LEIGH AV,25,6973,14,1900,30.7,0,27.3,0.05,72,51,61.5
63,2013-05-01,09:47:00.000Z,-121.84402820000001,37.35398049,PRESERVATION DR,SAN ANTONIO ST,1,0,1,150' west of PRESERVATION DR & SAN ANTONIO ST,35,4000,43,11400,37.0,0,34.0,0.02,73,51,62.0
64,2013-05-02,20:40:00.000Z,-121.8278604,37.25138032,BLOSSOM HILL RD,KEYMAR DR,1,0,1,105' east of BLOSSOM HILL RD & KEYMAR DR,40,10800,188,37000,47.0,0,42.5,0.02,73,52,62.5
65,2013-05-11,20:56:00.000Z,-121.86998259999999,37.3034615,CIMINO AV,LITTLE ORCHARD ST,1,0,1,144' south of CIMINO AV & LITTLE ORCHARD ST,40,4100,17,9100,39.7,0,36.0,0.0,75,51,63.0
66,2013-05-14,15:24:00.000Z,-121.8490453,37.27072684,BLUEFIELD DR,VISTAPARK DR,1,2,1,796' east of BLUEFIELD DR & VISTAPARK DR,35,2600,3,3650,37.0,0,33.0,0.0,75,52,63.5
67,2013-05-16,14:14:00.000Z,-121.90234479999998,37.35388157,HEDDING ST,SECOND ST,0,1,1,HEDDING ST & SECOND ST,35,3700,10,11750,39.0,0,34.5,0.06,74,52,63.0
68,2013-05-16,16:58:00.000Z,-121.91546979999998,37.36947755,FIRST ST,METRO DR,0,1,0,FIRST ST & METRO DR,30,1080,1,3800,33.0,0,29.0,0.06,74,52,63.0
69,2013-05-17,07:41:00.000Z,-121.8314117,37.27811704,EZIE ST,SENTER RD,0,1,0,307' east of EZIE ST & SENTER RD,30,2300,21,4800,34.0,0,29.0,0.01,73,53,63.0
70,2013-05-18,21:14:00.000Z,-121.866778,37.25299861,BLOSSOM RIVER WY,WINFIELD BL,0,1,1,98' south of BLOSSOM RIVER WY & WINFIELD BL,35,2300,11,13300,39.0,0,36.0,0.01,75,53,64.0
71,2013-05-20,22:57:00.000Z,-121.9011983,37.32420542,ROYAL AV,SAN CARLOS ST,0,1,0,251' west of ROYAL AV & SAN CARLOS ST,35,2180,18,6250,39.0,0,35.0,0.01,76,54,65.0
72,2013-05-20,21:10:00.000Z,-121.8316537,37.37004076,MADELINE DR,WHITE RD,1,0,1,MADELINE DR & WHITE RD,30,2400,11,3500,36.0,0,30.0,0.01,76,54,65.0
73,2013-05-20,07:35:00.000Z,-121.810848,37.30713475,CAPITOL EX,SILVER CREEK RD,1,0,2,CAPITOL EX & SILVER CREEK RD,35,3600,46,22900,39.0,0,34.0,0.01,76,54,65.0
74,2013-05-22,11:59:00.000Z,-121.8566451,37.38305136,CAPITOL AV,PENITENCIA CREEK RD,0,1,0,340' north of CAPITOL AV & PENITENCIA CREEK RD,35,5050,19,7800,38.5,0,35.0,0.0,77,53,65.0
75,2013-05-24,07:43:00.000Z,-121.93844750000001,37.250632700000004,COOPER AV,SAMARITAN DR,0,1,2,COOPER AV & SAMARITAN DR,35,3900,6,8300,38.0,0,34.0,0.01,77,55,66.0
76,2013-05-24,01:56:00.000Z,-121.7751619,37.31642120000001,ABORN RD,RUBY AV,0,1,0,ABORN RD & RUBY AV,25,3700,7,9850,31.5,0,28.5,0.01,77,55,66.0
77,2013-05-25,20:03:00.000Z,-121.8465874,37.2658688,BRANHAM LN,VISTAPARK DR,0,1,0,BRANHAM LN & VISTAPARK DR,35,3350,24,8250,40.0,0,35.0,0.01,76,54,65.0
78,2013-05-27,14:00:00.000Z,-121.8689861,37.24300043,COLEMAN RD,WINFIELD BL,0,1,1,COLEMAN RD & WINFIELD BL,35,6350,41,13000,38.0,0,34.5,0.06,75,55,65.0
79,2013-06-04,18:05:00.000Z,-121.8590007,37.25663257,SANTA TERESA BL,WEST VALLEY FR,0,1,0,SANTA TERESA BL & WEST VALLEY FR,40,20000,120,22100,45.0,0,40.5,0.01,77,55,66.0
80,2013-06-08,17:39:00.000Z,-121.90587169999999,37.32113309,AUZERAIS AV,SUNOL ST,1,0,2,141' north of AUZERAIS AV & SUNOL ST,25,5950,34,5250,28.5,0,24.5,0.01,78,54,66.0
81,2013-06-13,09:43:00.000Z,-121.9085127,37.32102331,AUZERAIS AV,LINCOLN AV,1,0,1,AUZERAIS AV & LINCOLN AV,25,5950,34,5250,28.5,0,24.5,0.0,80,55,67.5
82,2013-06-17,02:01:00.000Z,-121.8718044,37.2778191,FOXWORTHY AV,HILLSDALE AV,1,1,0,FOXWORTHY AV & HILLSDALE AV,35,1950,14,10100,38.0,0,34.0,0.0,81,56,68.5
83,2013-06-17,15:25:00.000Z,-121.9044956,37.34684062,GUADALUPE PW,TAYLOR ST,1,0,2,GUADALUPE PW & TAYLOR ST,35,5300,31,16100,39.0,1,35.5,0.0,81,56,68.5
84,2013-06-22,15:36:00.000Z,-121.8568419,37.26599359,BRANHAM LN,NARVAEZ AV,0,1,2,BRANHAM LN & NARVAEZ AV,35,3440,8,7900,39.0,0,37.0,0.0,83,57,70.0
85,2013-06-23,16:24:00.000Z,-121.7728118,37.2250765,CHANTILLEY LN,SANTA TERESA BL,0,1,0,300' north of CHANTILLEY LN & SANTA TERESA BL,45,9000,45,17100,47.5,0,43.3,0.0,81,57,69.0
86,2013-06-28,12:55:00.000Z,-121.8419098,37.27693303,CAPITOL EX,SNELL AV,1,0,2,CAPITOL EX & SNELL AV,40,2350,18,13750,43.0,0,39.0,0.0,81,58,69.5
87,2013-06-28,23:05:00.000Z,-121.87413659999999,37.40724438,CAMARGO DR,CROPLEY AV,0,1,2,348' west of CAMARGO DR & CROPLEY AV,35,8700,47,13850,40.0,0,36.0,0.0,81,58,69.5
88,2013-07-01,20:30:00.000Z,-121.8271466,37.36635711,ALUM ROCK AV,STEWART AV,0,1,0,60' west of ALUM ROCK AV & STEWART AV,30,8658,110,23950,34.0,0,30.0,0.0,83,58,70.5
89,2013-07-04,02:37:00.000Z,-121.9753642,37.32316954,KIELY BL,STEVENS CREEK BL,0,1,0,KIELY BL & STEVENS CREEK BL,30,3000,44,15000,37.0,0,32.0,0.0,83,57,70.0
90,2013-07-05,11:25:00.000Z,-121.86028049999999,37.24226583,COLEMAN RD,SANTA TERESA BL,0,1,2,COLEMAN RD & SANTA TERESA BL,40,4350,29,21300,44.0,0,40.0,0.0,82,57,69.5
91,2013-07-05,12:15:00.000Z,-121.92253980000001,37.30385511,DE ROSE WY,LEIGH AV,0,1,0,DE ROSE WY & LEIGH AV,35,8250,72,9950,40.0,0,36.0,0.0,82,57,69.5
92,2013-07-06,03:10:00.000Z,-121.93204640000002,37.3278105,BASCOM AV,NAGLEE AV,0,1,0,200' north of BASCOM AV & NAGLEE AV,35,5040,19,11900,38.0,0,34.5,0.0,82,57,69.5
93,2013-07-10,18:10:00.000Z,-121.86228100000001,37.22165055,ALMADEN EX,CAMDEN AV,1,0,1,78' south of ALMADEN EX & CAMDEN AV,35,4550,14,4550,39.0,0,35.0,0.0,83,58,70.5
94,2013-07-18,15:00:00.000Z,-121.86786459999999,37.30131024,LITTLE ORCHARD ST,PERRYMONT AV,0,1,2,LITTLE ORCHARD ST & PERRYMONT AV,40,4100,17,9100,39.7,0,36.0,0.0,83,59,71.0
95,2013-07-19,21:43:00.000Z,-121.8116425,37.34789386,MT MCKINLEY DR,WHITE RD,1,0,0,MT MCKINLEY DR & WHITE RD,35,4000,25,9400,39.0,0,34.0,0.0,83,59,71.0
96,2013-07-20,08:35:00.000Z,-121.76725090000001,37.22406043,AVENIDA ESPANA ,SANTA TERESA BL,0,1,0,AVENIDA ESPANA  & SANTA TERESA BL,30,3000,3,1500,32.0,0,29.0,0.0,82,59,70.5
97,2013-07-25,08:01:00.000Z,-121.882944,37.36612543,BERRYESSA RD,COMMERCIAL ST,0,1,2,97' west of BERRYESSA RD & COMMERCIAL ST,40,11500,159,40150,43.3,0,39.7,0.0,82,59,70.5
98,2013-07-28,23:30:00.000Z,-121.7942794,37.31357492,ABORN CT,ABORN RD,0,1,1,75' east of ABORN CT & ABORN RD,40,10990,71,25800,43.7,0,39.3,0.0,82,58,70.0
99,2013-07-30,15:48:00.000Z,-121.84590130000001,37.36090691,ALEXIAN DR,JACKSON AV,0,1,2,ALEXIAN DR & JACKSON AV,35,7530,49,15150,38.5,0,35.0,0.0,83,58,70.5
100,2013-07-30,23:15:00.000Z,-121.7619878,37.21972279,BAYLISS DR,SANTA TERESA BL,0,1,0,BAYLISS DR & SANTA TERESA BL,50,13100,14,4450,54.3,0,49.3,0.0,83,58,70.5
101,2013-08-02,20:09:00.000Z,-121.88117240000001,37.28915076,ALMADEN EX,IRONWOOD DR,0,1,2,ALMADEN EX & IRONWOOD DR,35,7000,23,9000,37.5,0,34.0,0.0,82,59,70.5
102,2013-08-06,10:23:00.000Z,-121.87101270000001,37.37591331,BERRYESSA RD,JUNESONG WY,0,1,0,BERRYESSA RD & JUNESONG WY,40,12600,56,15950,43.5,0,39.3,0.0,83,59,71.0
103,2013-08-07,12:30:00.000Z,-121.8181535,37.32762014,EASTRIDGE WY,TULLY RD,0,1,0,EASTRIDGE WY & TULLY RD,35,4082,80,17100,39.5,0,35.5,0.0,84,60,72.0
104,2013-08-08,20:41:00.000Z,-121.8340494,37.294179299999996,JACKIE DR,SENTER RD,0,1,1,JACKIE DR & SENTER RD,40,15150,187,23450,42.8,0,38.5,0.0,85,60,72.5
105,2013-08-09,20:45:00.000Z,-121.88814850000001,37.33482156,SAN FERNANDO ST,SECOND ST,0,1,1,417' north of SAN FERNANDO ST & SECOND ST,25,8166,47,8750,29.0,0,25.7,0.0,83,60,71.5
106,2013-08-10,23:54:00.000Z,-121.82571429999999,37.25881308,CHYNOWETH AV,DEREK DR,2,3,0,CHYNOWETH AV & DEREK DR,40,6000,21,9750,43.5,0,39.0,0.0,83,59,71.0
107,2013-08-12,16:57:00.000Z,-121.9167808,37.26360981,HILLSDALE AV,ROSS AV,0,1,2,120' south of HILLSDALE AV & ROSS AV,40,2350,20,19700,41.5,0,37.5,0.0,83,59,71.0
108,2013-08-13,16:21:00.000Z,-121.83637079999998,37.35095159,BAMBI LN,JACKSON AV,0,1,0,BAMBI LN & JACKSON AV,35,8350,140,20900,38.0,0,33.7,0.0,83,59,71.0
109,2013-08-14,14:20:00.000Z,-121.90621780000001,37.32622722,PARK AV,SUNOL ST,0,1,0,PARK AV & SUNOL ST,25,920,4,2900,28.0,0,25.0,0.0,82,59,70.5
110,2013-08-27,13:45:00.000Z,-121.9975387,37.29241445,LAWRENCE EX,PROSPECT RD,0,1,0,LAWRENCE EX & PROSPECT RD,35,5100,35,17650,39.0,0,36.0,0.0,84,58,71.0
111,2013-08-30,21:17:00.000Z,-121.92792,37.33714982,HEDDING ST,PARK AV,0,1,0,HEDDING ST & PARK AV,30,6100,63,13950,34.0,0,30.3,0.0,81,59,70.0
112,2013-09-02,03:18:00.000Z,-121.9135686,37.36700284,FIRST ST,SKYPORT DR,2,0,0,FIRST ST & SKYPORT DR,40,2000,20,7500,41.0,0,36.0,0.0,84,58,71.0
113,2013-09-03,09:36:00.000Z,-121.8800521,37.27801049,ALMADEN EX,FOXWORTHY AV,1,0,1,ALMADEN EX & FOXWORTHY AV,30,2400,1,3200,33.0,0,30.0,0.0,82,58,70.0
114,2013-09-04,11:21:00.000Z,-121.8755926,37.36271984,MABURY RD,TAYLOR ST,1,0,0,MABURY RD & TAYLOR ST,40,6650,32,12400,41.5,0,38.0,0.0,82,58,70.0
115,2013-09-04,07:46:00.000Z,-121.86213670000001,37.39794284,GOMES DR,MORRILL AV,1,0,0,GOMES DR & MORRILL AV,30,3550,11,2500,34.0,1,30.0,0.0,82,58,70.0
116,2013-09-06,14:24:00.000Z,-121.8075547,37.2519814,BLOSSOM HILL RD,POUGHKEEPSIE RD,1,0,0,576' east of BLOSSOM HILL RD & POUGHKEEPSIE RD,35,1100,22,14800,37.0,0,33.0,0.0,84,58,71.0
117,2013-09-11,21:06:00.000Z,-121.88212970000001,37.40332487,CAPITOL AV,CROPLEY AV,0,1,0,CAPITOL AV & CROPLEY AV,35,8700,47,13850,40.0,0,36.0,0.0,82,57,69.5
118,2013-09-17,06:23:00.000Z,-121.7989027,37.25723443,BLOSSOM HILL RD,SOUTH VALLEY FR,0,1,0,BLOSSOM HILL RD & SOUTH VALLEY FR,45,14200,170,31100,49.7,0,43.7,0.01,80,57,68.5
119,2013-09-17,04:12:00.000Z,-121.8924392,37.23420902,COLEMAN RD,SENTINEL ST,0,1,0,COLEMAN RD & SENTINEL ST,35,12400,17,4100,39.0,0,35.0,0.01,80,57,68.5
120,2013-09-18,12:53:00.000Z,-121.8764908,37.33649539,ELEVENTH ST,SAN CARLOS ST,0,1,0,ELEVENTH ST & SAN CARLOS ST,30,14650,183,25700,34.3,0,30.5,0.0,80,58,69.0
121,2013-09-22,00:08:00.000Z,-121.85244420000001,37.29472253,MONTEREY RD,UMBARGER RD,0,1,0,MONTEREY RD & UMBARGER RD,35,4000,12,7150,38.0,0,34.0,0.02,82,57,69.5
122,2013-09-22,02:03:00.000Z,-121.8430265,37.37008225,CAPITOL AV,MCKEE RD,0,1,0,300' south of CAPITOL AV & MCKEE RD,35,18700,76,21150,40.0,0,36.0,0.02,82,57,69.5
123,2013-09-24,18:10:00.000Z,-122.00817109999998,37.31072396,BOLLINGER RD,TULIPAN DR,0,1,2,BOLLINGER RD & TULIPAN DR,25,3200,5,1900,30.0,1,25.0,0.02,80,57,68.5
124,2013-09-26,19:15:00.000Z,-121.9136346,37.30658313,MERIDIAN AV,WESTWOOD DR,0,1,0,80' south of MERIDIAN AV & WESTWOOD DR,30,4070,12,8150,33.0,0,29.0,0.01,80,56,68.0
125,2013-09-27,17:30:00.000Z,-121.9047098,37.36815583,OLD BAYSHORE HW,QUEENS LN,0,1,0,OLD BAYSHORE HW & QUEENS LN,40,2900,11,12650,41.0,0,37.0,0.0,79,57,68.0
